Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
22	03/20/2006		2006	3	20	0	0	0	0				20181108192038
68	03/21/2006		2006	3	21	0	0	0	0				20181108192038
103	03/30/2006		2006	3	30	0	0	0	0				20181108192038
111	03/31/2006		2006	3	31	0	0	0	0				20181108192038
150	11/30/2016		2016	11	30	0	0	0	0				20181108192039
160	03/22/2006		2006	3	22	0	0	0	0				20181108192039
248	03/27/2006		2006	3	27	0	0	0	0				20181108192039
253	05/24/2005		2005	5	24	0	0	0	0				20181108192039
289	11/08/2006		2006	11	8	0	0	0	0				20181108192039
297	06/09/2006		2006	6	9	0	0	0	0				20181108192039
299	03/27/2006		2006	3	27	0	0	0	0				20181108192039
381	03/22/2006		2006	3	22	0	0	0	0				20181108192039
385	04/03/2006		2006	4	3	0	0	0	0				20181108192039
395	03/24/2006		2006	3	24	0	0	0	0				20181108192039
439	03/27/2006		2006	3	27	0	0	0	0				20181108192039
441	03/27/2006		2006	3	27	0	0	0	0				20181108192039
447	03/20/2006		2006	3	20	0	0	0	0				20181108192039
469	03/22/2006		2006	3	22	0	0	0	0				20181108192039
695	03/23/2006		2006	3	23	0	0	0	0				20181108192040
816	03/24/2006		2006	3	24	0	0	0	0				20181108192040
845	10/16/2009		2009	10	16	0	0	0	0				20181108192040
903	03/29/2006		2006	3	29	0	0	0	0				20181108192040
904	03/24/2006		2006	3	24	0	0	0	0				20181108192040
954	03/28/2006		2006	3	28	0	0	0	0				20181108192041
956	06/09/2006		2006	6	9	0	0	0	0				20181108192041
1017	03/23/2006		2006	3	23	0	0	0	0				20181108192041
1061	03/27/2006		2006	3	27	0	0	0	0				20181108192041
1086	03/24/2006		2006	3	24	0	0	0	0				20181108192041
1114	04/21/2006		2006	4	21	0	0	0	0				20181108192041
1127	01/22/2007		2007	1	22	0	0	0	0				20181108192041
1139	03/28/2006		2006	3	28	0	0	0	0				20181108192041
1182	03/29/2006		2006	3	29	0	0	0	0				20181108192041
1216	03/24/2006		2006	3	24	0	0	0	0				20181108192041
1253	03/27/2006		2006	3	27	0	0	0	0				20181108192041
1270	04/05/2006		2006	4	5	0	0	0	0				20181108192041
1278	04/06/2006		2006	4	6	0	0	0	0				20181108192041
1383	03/31/2006		2006	3	31	0	0	0	0				20181108192042
1566	03/29/2006		2006	3	29	0	0	0	0				20181108192042
1708	03/27/2006		2006	3	27	0	0	0	0				20181108192043
1754	03/21/2006		2006	3	21	0	0	0	0				20181108192043
1820	03/21/2006		2006	3	21	0	0	0	0				20181108192043
1821	03/20/2006		2006	3	20	0	0	0	0				20181108192043
1822	03/30/2006		2006	3	30	0	0	0	0				20181108192043
1870	03/31/2006		2006	3	31	0	0	0	0				20181108192043
1911	08/04/2005		2005	8	4	0	0	0	0				20181108192043
1940	03/24/2006		2006	3	24	0	0	0	0				20181108192043
1941	04/19/2006		2006	4	19	0	0	0	0				20181108192043
1984	03/31/2006		2006	3	31	0	0	0	0				20181108192043
