Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	05/23/2005		2005	5	23	0	0	0	0				20181108192038
2	05/23/2005		2005	5	23	0	0	0	0				20181108192038
3	05/23/2005		2005	5	23	0	0	0	0				20181108192038
4	05/23/2005		2005	5	23	0	0	0	0				20181108192038
5	05/23/2005		2005	5	23	0	0	0	0				20181108192038
6	05/23/2005		2005	5	23	0	0	0	0				20181108192038
7	05/23/2005		2005	5	23	0	0	0	0				20181108192038
8	05/23/2005		2005	5	23	0	0	0	0				20181108192038
9	05/23/2005		2005	5	23	0	0	0	0				20181108192038
10	05/23/2005		2005	5	23	0	0	0	0				20181108192038
11	05/23/2005		2005	5	23	0	0	0	0				20181108192038
12	05/23/2005		2005	5	23	0	0	0	0				20181108192038
13	05/23/2005		2005	5	23	0	0	0	0				20181108192038
14	05/23/2005		2005	5	23	0	0	0	0				20181108192038
15	05/23/2005		2005	5	23	0	0	0	0				20181108192038
16	05/23/2005		2005	5	23	0	0	0	0				20181108192038
17	05/23/2005		2005	5	23	0	0	0	0				20181108192038
18	05/23/2005		2005	5	23	0	0	0	0				20181108192038
19	05/23/2005		2005	5	23	0	0	0	0				20181108192038
20	05/23/2005		2005	5	23	0	0	0	0				20181108192038
21	05/23/2005		2005	5	23	0	0	0	0				20181108192038
22	05/23/2005		2005	5	23	0	0	0	0				20181108192038
23	05/23/2005		2005	5	23	0	0	0	0				20181108192038
24	05/23/2005		2005	5	23	0	0	0	0				20181108192038
25	05/23/2005		2005	5	23	0	0	0	0				20181108192038
26	05/23/2005		2005	5	23	0	0	0	0				20181108192038
27	05/23/2005		2005	5	23	0	0	0	0				20181108192038
28	05/23/2005		2005	5	23	0	0	0	0				20181108192038
29	05/23/2005		2005	5	23	0	0	0	0				20181108192038
30	05/23/2005		2005	5	23	0	0	0	0				20181108192038
31	05/23/2005		2005	5	23	0	0	0	0				20181108192038
32	05/23/2005		2005	5	23	0	0	0	0				20181108192038
33	05/23/2005		2005	5	23	0	0	0	0				20181108192038
34	05/23/2005		2005	5	23	0	0	0	0				20181108192038
35	05/23/2005		2005	5	23	0	0	0	0				20181108192038
36	05/23/2005		2005	5	23	0	0	0	0				20181108192038
37	05/23/2005		2005	5	23	0	0	0	0				20181108192038
38	05/23/2005		2005	5	23	0	0	0	0				20181108192038
39	05/23/2005		2005	5	23	0	0	0	0				20181108192038
40	05/23/2005		2005	5	23	0	0	0	0				20181108192038
41	05/23/2005		2005	5	23	0	0	0	0				20181108192038
42	05/23/2005		2005	5	23	0	0	0	0				20181108192038
43	05/23/2005		2005	5	23	0	0	0	0				20181108192038
44	05/23/2005		2005	5	23	0	0	0	0				20181108192038
45	05/23/2005		2005	5	23	0	0	0	0				20181108192038
46	05/23/2005		2005	5	23	0	0	0	0				20181108192038
47	05/23/2005		2005	5	23	0	0	0	0				20181108192038
48	05/23/2005		2005	5	23	0	0	0	0				20181108192038
49	05/23/2005		2005	5	23	0	0	0	0				20181108192038
50	05/23/2005		2005	5	23	0	0	0	0				20181108192038
51	05/23/2005		2005	5	23	0	0	0	0				20181108192038
52	05/23/2005		2005	5	23	0	0	0	0				20181108192038
53	05/23/2005		2005	5	23	0	0	0	0				20181108192038
54	05/23/2005		2005	5	23	0	0	0	0				20181108192038
55	05/23/2005		2005	5	23	0	0	0	0				20181108192038
56	05/23/2005		2005	5	23	0	0	0	0				20181108192038
57	05/23/2005		2005	5	23	0	0	0	0				20181108192038
58	05/23/2005		2005	5	23	0	0	0	0				20181108192038
59	05/23/2005		2005	5	23	0	0	0	0				20181108192038
60	05/23/2005		2005	5	23	0	0	0	0				20181108192038
61	05/23/2005		2005	5	23	0	0	0	0				20181108192038
62	05/23/2005		2005	5	23	0	0	0	0				20181108192038
63	05/23/2005		2005	5	23	0	0	0	0				20181108192038
64	05/23/2005		2005	5	23	0	0	0	0				20181108192038
65	05/23/2005		2005	5	23	0	0	0	0				20181108192038
67	05/23/2005		2005	5	23	0	0	0	0				20181108192038
68	05/23/2005		2005	5	23	0	0	0	0				20181108192038
69	05/23/2005		2005	5	23	0	0	0	0				20181108192038
70	05/23/2005		2005	5	23	0	0	0	0				20181108192038
71	05/23/2005		2005	5	23	0	0	0	0				20181108192038
72	05/23/2005		2005	5	23	0	0	0	0				20181108192038
73	05/23/2005		2005	5	23	0	0	0	0				20181108192038
74	05/23/2005		2005	5	23	0	0	0	0				20181108192038
75	05/23/2005		2005	5	23	0	0	0	0				20181108192038
76	05/23/2005		2005	5	23	0	0	0	0				20181108192038
77	05/23/2005		2005	5	23	0	0	0	0				20181108192038
78	05/23/2005		2005	5	23	0	0	0	0				20181108192038
79	05/23/2005		2005	5	23	0	0	0	0				20181108192038
80	05/23/2005		2005	5	23	0	0	0	0				20181108192038
81	05/23/2005		2005	5	23	0	0	0	0				20181108192038
82	05/23/2005		2005	5	23	0	0	0	0				20181108192038
83	05/23/2005		2005	5	23	0	0	0	0				20181108192038
84	05/23/2005		2005	5	23	0	0	0	0				20181108192038
85	05/23/2005		2005	5	23	0	0	0	0				20181108192038
86	05/23/2005		2005	5	23	0	0	0	0				20181108192038
87	05/23/2005		2005	5	23	0	0	0	0				20181108192038
88	05/23/2005		2005	5	23	0	0	0	0				20181108192038
89	05/23/2005		2005	5	23	0	0	0	0				20181108192038
90	05/23/2005		2005	5	23	0	0	0	0				20181108192038
91	05/23/2005		2005	5	23	0	0	0	0				20181108192038
92	05/23/2005		2005	5	23	0	0	0	0				20181108192038
94	05/23/2005		2005	5	23	0	0	0	0				20181108192038
95	05/23/2005		2005	5	23	0	0	0	0				20181108192038
96	05/23/2005		2005	5	23	0	0	0	0				20181108192038
97	05/23/2005		2005	5	23	0	0	0	0				20181108192038
98	05/23/2005		2005	5	23	0	0	0	0				20181108192038
99	05/23/2005		2005	5	23	0	0	0	0				20181108192038
100	05/23/2005		2005	5	23	0	0	0	0				20181108192038
101	05/23/2005		2005	5	23	0	0	0	0				20181108192038
102	05/23/2005		2005	5	23	0	0	0	0				20181108192038
103	05/23/2005		2005	5	23	0	0	0	0				20181108192038
104	05/23/2005		2005	5	23	0	0	0	0				20181108192038
105	05/23/2005		2005	5	23	0	0	0	0				20181108192038
106	05/23/2005		2005	5	23	0	0	0	0				20181108192038
107	05/23/2005		2005	5	23	0	0	0	0				20181108192038
108	05/23/2005		2005	5	23	0	0	0	0				20181108192038
109	05/23/2005		2005	5	23	0	0	0	0				20181108192038
110	05/23/2005		2005	5	23	0	0	0	0				20181108192038
111	05/23/2005		2005	5	23	0	0	0	0				20181108192038
112	05/23/2005		2005	5	23	0	0	0	0				20181108192038
113	05/23/2005		2005	5	23	0	0	0	0				20181108192039
114	05/23/2005		2005	5	23	0	0	0	0				20181108192039
115	05/23/2005		2005	5	23	0	0	0	0				20181108192039
116	05/23/2005		2005	5	23	0	0	0	0				20181108192039
118	05/23/2005		2005	5	23	0	0	0	0				20181108192039
119	05/23/2005		2005	5	23	0	0	0	0				20181108192039
120	05/23/2005		2005	5	23	0	0	0	0				20181108192039
121	05/23/2005		2005	5	23	0	0	0	0				20181108192039
122	05/23/2005		2005	5	23	0	0	0	0				20181108192039
123	05/23/2005		2005	5	23	0	0	0	0				20181108192039
124	05/23/2005		2005	5	23	0	0	0	0				20181108192039
125	05/23/2005		2005	5	23	0	0	0	0				20181108192039
126	05/23/2005		2005	5	23	0	0	0	0				20181108192039
127	05/23/2005		2005	5	23	0	0	0	0				20181108192039
128	05/23/2005		2005	5	23	0	0	0	0				20181108192039
129	05/23/2005		2005	5	23	0	0	0	0				20181108192039
130	05/23/2005		2005	5	23	0	0	0	0				20181108192039
131	05/23/2005		2005	5	23	0	0	0	0				20181108192039
132	05/23/2005		2005	5	23	0	0	0	0				20181108192039
133	05/23/2005		2005	5	23	0	0	0	0				20181108192039
134	05/23/2005		2005	5	23	0	0	0	0				20181108192039
135	05/23/2005		2005	5	23	0	0	0	0				20181108192039
136	05/23/2005		2005	5	23	0	0	0	0				20181108192039
137	05/23/2005		2005	5	23	0	0	0	0				20181108192039
138	05/23/2005		2005	5	23	0	0	0	0				20181108192039
139	05/23/2005		2005	5	23	0	0	0	0				20181108192039
140	05/23/2005		2005	5	23	0	0	0	0				20181108192039
141	05/23/2005		2005	5	23	0	0	0	0				20181108192039
142	05/23/2005		2005	5	23	0	0	0	0				20181108192039
143	05/23/2005		2005	5	23	0	0	0	0				20181108192039
144	05/23/2005		2005	5	23	0	0	0	0				20181108192039
145	05/23/2005		2005	5	23	0	0	0	0				20181108192039
146	05/23/2005		2005	5	23	0	0	0	0				20181108192039
147	05/23/2005		2005	5	23	0	0	0	0				20181108192039
148	05/23/2005		2005	5	23	0	0	0	0				20181108192039
149	05/23/2005		2005	5	23	0	0	0	0				20181108192039
150	05/23/2005		2005	5	23	0	0	0	0				20181108192039
151	05/23/2005		2005	5	23	0	0	0	0				20181108192039
152	05/23/2005		2005	5	23	0	0	0	0				20181108192039
153	05/23/2005		2005	5	23	0	0	0	0				20181108192039
154	05/23/2005		2005	5	23	0	0	0	0				20181108192039
155	05/23/2005		2005	5	23	0	0	0	0				20181108192039
156	05/23/2005		2005	5	23	0	0	0	0				20181108192039
157	05/23/2005		2005	5	23	0	0	0	0				20181108192039
158	05/23/2005		2005	5	23	0	0	0	0				20181108192039
159	05/23/2005		2005	5	23	0	0	0	0				20181108192039
160	05/23/2005		2005	5	23	0	0	0	0				20181108192039
161	05/23/2005		2005	5	23	0	0	0	0				20181108192039
162	05/23/2005		2005	5	23	0	0	0	0				20181108192039
163	05/23/2005		2005	5	23	0	0	0	0				20181108192039
164	05/23/2005		2005	5	23	0	0	0	0				20181108192039
165	05/23/2005		2005	5	23	0	0	0	0				20181108192039
166	05/23/2005		2005	5	23	0	0	0	0				20181108192039
167	05/23/2005		2005	5	23	0	0	0	0				20181108192039
