Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	SUNG												20181108192038
2	TROTCHIE												20181108192038
3	SALENGER												20181108192038
6	MYERS												20181108192038
8	CAREY												20181108192038
9	LASKEN												20181108192038
10	ALLEN												20181108192038
11	LOTT												20181108192038
13	PETERS												20181108192038
14	FIORE												20181108192038
15	THOMASON												20181108192038
16	GULLETT												20181108192038
17	ORTMAN												20181108192038
18	IRWIN												20181108192038
19	VON HARDENBERG												20181108192038
21	KOVAR												20181108192038
22	GOODMAN												20181108192038
23	CANON												20181108192038
24	ARPIN												20181108192038
25	ROBIN												20181108192038
26	GARNER												20181108192038
27	ELLER												20181108192038
28	MOORE												20181108192038
30	HODGIN												20181108192038
31	HAASCH												20181108192038
32	JACKSON												20181108192038
33	TAHIR												20181108192038
34	BACHTEL												20181108192038
35	LEE												20181108192038
36	BILGRAMI												20181108192038
37	GEISS												20181108192038
38	POLLAK												20181108192038
39	HADAD												20181108192038
40	CONN												20181108192038
41	FOURTOUNIS												20181108192038
42	STALLSMITH												20181108192038
43	KIM												20181108192038
45	QUILICI												20181108192038
47	PETERSON												20181108192038
48	YASIN												20181108192038
49	CORKERY												20181108192038
50	VOGEL												20181108192038
52	BROWER												20181108192038
54	NEWSOME												20181108192038
55	BLACK												20181108192038
56	STUBLER												20181108192038
57	GORDON												20181108192038
58	HUNYADI												20181108192038
59	COHEN												20181108192038
60	HSIEH												20181108192038
62	MARDEN												20181108192038
63	TACVORIAN												20181108192038
64	ALLEN												20181108192038
65	BUCHAR												20181108192038
67	SMITH												20181108192038
68	ALBERS												20181108192038
70	JAFFE												20181108192038
71	BOYLE												20181108192038
72	KIRBY												20181108192038
73	CHESEK												20181108192038
74	HART												20181108192038
75	SWANN												20181108192038
77	JANKOV												20181108192038
79	BAREK												20181108192038
80	LAZARUS												20181108192038
81	DODD												20181108192038
82	SPIEGEL												20181108192038
84	SIVLEY												20181108192038
85	PREHN												20181108192038
87	BROCK												20181108192038
88	DELLASEGA												20181108192038
89	MAHIZHNAN												20181108192038
91	EISENACH												20181108192038
92	SIMONTE												20181108192038
94	CHAPMAN												20181108192038
95	BORUSHOK												20181108192038
97	HERMANSDORFER												20181108192038
98	SCHURING												20181108192038
99	TRUDO												20181108192038
100	KUNS												20181108192038
101	CONNELLY												20181108192038
103	BARCIO												20181108192038
104	WEIGEL												20181108192038
105	PREWITT-BUCHANAN												20181108192038
106	BIRD												20181108192038
107	LEE												20181108192038
108	AYERS												20181108192038
109	COOPER												20181108192038
110	QUARTULLO												20181108192038
111	ZIEGLER												20181108192038
112	LINSCOTT												20181108192038
113	MCDONALD												20181108192039
114	DOUGHTY												20181108192039
115	GLASSBERG												20181108192039
116	ALIMASUYA												20181108192039
118	BALO												20181108192039
119	REINHARDT												20181108192039
120	SCHUPAK												20181108192039
122	MADURO												20181108192039
123	KROYN												20181108192039
124	GREGORY												20181108192039
125	HADFIELD												20181108192039
126	PARNES												20181108192039
127	HOLLAR												20181108192039
128	AHRENS												20181108192039
129	RICE												20181108192039
130	KAUFMAN												20181108192039
131	VILD												20181108192039
132	PARKER												20181108192039
134	LOGAN												20181108192039
136	GORDON												20181108192039
137	DUNN												20181108192039
138	GEORGE												20181108192039
139	SCHMIDT												20181108192039
140	BRAUN												20181108192039
141	HUBER												20181108192039
142	WAYS												20181108192039
143	HOPPER												20181108192039
144	PHO												20181108192039
145	KOS												20181108192039
146	RAINIS												20181108192039
148	CHIANG												20181108192039
149	AZAR												20181108192039
150	REEVES												20181108192039
152	MCGOWEN												20181108192039
153	WRIGHT												20181108192039
154	FOWLER												20181108192039
157	BEDNARZYK												20181108192039
158	BISHOP												20181108192039
159	MORTE												20181108192039
160	KRUEGER												20181108192039
161	CROWLEY												20181108192039
162	BYRNE												20181108192039
163	MICHELSON												20181108192039
164	BAUMOHL												20181108192039
165	MOSES												20181108192039
167	WALKER												20181108192039
169	HENSLEY												20181108192039
170	DAVIDOFF												20181108192039
171	JONES												20181108192039
172	GILLESPIE												20181108192039
173	HATFIELD												20181108192039
175	COOK												20181108192039
176	LUZ												20181108192039
177	DELUCA												20181108192039
180	BURCH												20181108192039
181	TANVIR												20181108192039
183	CLAUSE												20181108192039
185	HAVEMANN												20181108192039
186	KAPPELMAN												20181108192039
190	KASSLER												20181108192039
194	CITRON												20181108192039
195	GESSNER												20181108192039
196	LAWHEAD												20181108192039
197	EDDS												20181108192039
198	CAPLAN												20181108192039
199	FINLEY												20181108192039
200	FIRTH												20181108192039
201	LIVINGSTON												20181108192039
202	GOSS												20181108192039
203	SETTONNI												20181108192039
204	HOFFER												20181108192039
205	PETERS												20181108192039
206	VECCHIONE												20181108192039
207	EDWARDS												20181108192039
210	BERKOWITZ												20181108192039
211	BEERMAN												20181108192039
213	SPIZZIERI												20181108192039
214	GAFFAR												20181108192039
215	WILLIAMS												20181108192039
216	LASSETER												20181108192039
217	DANDADE												20181108192039
218	TUCKER												20181108192039
219	FERGUSON												20181108192039
220	KLAPPHOLZ												20181108192039
221	ANDERSON												20181108192039
222	NARCISO												20181108192039
223	JEANTY												20181108192039
224	GLISSON												20181108192039
226	CLASSEN												20181108192039
227	MAHMUDI												20181108192039
228	HARMAN												20181108192039
231	SMITH												20181108192039
232	ROSENDORF												20181108192039
233	HAMPTON												20181108192039
235	BOYD												20181108192039
237	PRECIADO												20181108192039
239	BUTLER												20181108192039
240	SCHOENBAUM												20181108192039
241	WEINSTEIN												20181108192039
242	KULP												20181108192039
243	BUCH												20181108192039
244	PRASAD												20181108192039
245	WALKER												20181108192039
246	BRAUN												20181108192039
247	MOAZEZ												20181108192039
248	MCKAY												20181108192039
249	ODOM												20181108192039
250	STOLTENBERG												20181108192039
251	VINCENT												20181108192039
253	CULASSO												20181108192039
254	METZ												20181108192039
256	KIM												20181108192039
257	KUPER												20181108192039
258	KUNS												20181108192039
259	DIEHL												20181108192039
260	DUBIN												20181108192039
263	VERZOSA												20181108192039
264	SORIANO												20181108192039
265	DOORES												20181108192039
266	LEVEQUE												20181108192039
267	SUNDARARAMAN												20181108192039
268	DETWILER												20181108192039
269	HERRING												20181108192039
270	MACLELLAN-TOBERT												20181108192039
271	SEXTRO												20181108192039
272	GIST												20181108192039
273	ROSS												20181108192039
276	HILL												20181108192039
277	ADAMS												20181108192039
278	WARNER												20181108192039
280	LONG												20181108192039
281	ORDEN												20181108192039
283	CANNON												20181108192039
286	FRIEDRICHS												20181108192039
288	FENYES												20181108192039
289	FLEMING												20181108192039
290	LOWMAN												20181108192039
292	FULLER												20181108192039
294	KUNZ												20181108192039
297	HERDE												20181108192039
298	JORGENSEN												20181108192039
299	ORLANDO												20181108192039
301	ELGENDY												20181108192039
303	SIMMONS												20181108192039
304	HUTCHINS												20181108192039
305	PUCILLO												20181108192039
306	BRENNAN												20181108192039
308	LAWRENCE												20181108192039
309	WINKLER												20181108192039
310	MUNN												20181108192039
313	SUTHERLAND												20181108192039
315	MACCHARLES												20181108192039
316	BOUCH												20181108192039
317	CARRASQUILLO												20181108192039
319	DUCKRO												20181108192039
320	SKAGGS												20181108192039
322	STAMILIO												20181108192039
323	FALCON												20181108192039
325	TRAGER												20181108192039
327	CUNNINGHAM												20181108192039
329	FUNK												20181108192039
331	MONNIG												20181108192039
332	NADJI												20181108192039
334	ABRAMS												20181108192039
335	GUIJON												20181108192039
336	DEFFER												20181108192039
337	GERING												20181108192039
338	ERICKSON												20181108192039
339	HOLETS												20181108192039
340	MALTZ												20181108192039
341	FRACHTMAN												20181108192039
342	LOWENTHAL												20181108192039
343	MULVIHILL												20181108192039
344	BUESCHER												20181108192039
347	HUDAK												20181108192039
349	KEPLINGER												20181108192039
351	DOMAN												20181108192039
352	ACKERMAN												20181108192039
353	LADSON												20181108192039
354	RANDELL												20181108192039
355	WINN												20181108192039
356	KINNEY												20181108192039
357	SCHIFFGEN												20181108192039
358	RENTZ												20181108192039
360	ROOTRING												20181108192039
362	SHOOK												20181108192039
363	MARIN												20181108192039
364	ADKINS												20181108192039
365	NIZAM												20181108192039
366	MENA												20181108192039
367	NELSON												20181108192039
368	WOOD												20181108192039
369	VIGNA												20181108192039
370	THOMPSON												20181108192039
371	ARENA												20181108192039
372	BELTZ												20181108192039
375	RAMUNNO												20181108192039
376	PERELMAN												20181108192039
377	JORGENSEN												20181108192039
378	LEUNG												20181108192039
379	BAST												20181108192039
380	LOOK												20181108192039
381	TORO												20181108192039
382	CANO												20181108192039
383	CAROSELLO												20181108192039
384	SKINNER												20181108192039
385	JAVEED												20181108192039
387	BERGERON												20181108192039
388	MOORE												20181108192039
389	LUKSCHU												20181108192039
390	MAYNARD												20181108192039
391	BOLEWICZ												20181108192039
392	ALBREGTS												20181108192039
393	BLACKHART												20181108192039
394	HURLOW												20181108192039
395	KASRAEIAN												20181108192039
396	DE SABRA												20181108192039
397	PINKER												20181108192039
398	MCKENNAN												20181108192039
399	TRIEDMAN												20181108192039
401	HENSON												20181108192039
402	EMMI												20181108192039
404	FIERSTEIN												20181108192039
408	URAL												20181108192039
409	FLOURNOY												20181108192039
410	ALI												20181108192039
411	SHAHAN												20181108192039
412	HODGKISS												20181108192039
413	ABSIN												20181108192039
414	DANIELS												20181108192039
415	KAUFMAN												20181108192039
416	LEE												20181108192039
417	ABELSON												20181108192039
419	LEAHY												20181108192039
420	STOOKE												20181108192039
421	SEITMAN												20181108192039
422	LAFFERTY												20181108192039
423	GENDRON												20181108192039
424	SHIN												20181108192039
425	SEMIAN												20181108192039
426	MANKIN												20181108192039
427	SMITH												20181108192039
428	ATHEY												20181108192039
429	O'BARR												20181108192039
430	DUNAWAY												20181108192039
431	SCHMITT												20181108192039
432	MADDOX												20181108192039
433	BRADLEY												20181108192039
434	PANG												20181108192039
435	MOOREVILLE												20181108192039
436	DAVIS												20181108192039
437	AGARWAL												20181108192039
438	BRADLEY												20181108192039
439	MERKLEY												20181108192039
441	SUTTON												20181108192039
442	GU												20181108192039
443	SHAPIRO												20181108192039
444	BLASH												20181108192039
445	NORA												20181108192039
446	RUBLEY												20181108192039
447	LEEMAN												20181108192039
450	BRANDIMARTO												20181108192039
