Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	SHENG												20181108192038
2	C												20181108192038
6	M												20181108192038
8	W												20181108192038
9	W												20181108192038
10	C												20181108192038
11	FOSTER												20181108192038
15	DANIEL												20181108192038
16	R												20181108192038
17	PHILIP												20181108192038
18	F												20181108192038
21	STEPHEN												20181108192038
22	A												20181108192038
23	C												20181108192038
24	F												20181108192038
25	ALAN												20181108192038
27	T												20181108192038
28	WILLARD												20181108192038
30	W												20181108192038
31	MARY												20181108192038
32	T												20181108192038
34	D.												20181108192038
35	THOMAS												20181108192038
37	FRANCIS												20181108192038
38	H												20181108192038
40	LEE												20181108192038
42	ANN												20181108192038
43	Y												20181108192038
45	D												20181108192038
47	LEROY												20181108192038
48	TAUQIR												20181108192038
49	M												20181108192038
52	LEE												20181108192038
54	E												20181108192038
55	DICKSON												20181108192038
56	KEVIN												20181108192038
57	L												20181108192038
58	W												20181108192038
59	E												20181108192038
62	W.												20181108192038
64	BILLINGS												20181108192038
65	L.												20181108192038
67	W												20181108192038
68	FRANCIS												20181108192038
70	A												20181108192038
71	CATHERINE												20181108192038
73	M												20181108192038
75	E												20181108192038
79	B.												20181108192038
81	T												20181108192038
84	D												20181108192038
85	B.												20181108192038
87	L												20181108192038
91	B												20181108192038
92	JOSEPH												20181108192038
94	DONALD												20181108192038
97	DAVID												20181108192038
98	G												20181108192038
99	WILLIAM												20181108192038
100	ROGER												20181108192038
101	PATRICK												20181108192038
103	G												20181108192038
104	M												20181108192038
105	K.												20181108192038
106	EARL												20181108192038
107	G												20181108192038
108	M												20181108192038
109	S												20181108192038
110	CAROLINA												20181108192038
111	EDWARD												20181108192038
112	C												20181108192038
113	B												20181108192039
114	DAVID												20181108192039
115	BRUCE												20181108192039
118	HARVEL												20181108192039
119	C												20181108192039
120	ELLEN												20181108192039
123	YEVGENIYA												20181108192039
124	J												20181108192039
125	B												20181108192039
126	GARY												20181108192039
127	RUTH												20181108192039
128	M												20181108192039
129	ALAN												20181108192039
130	A												20181108192039
131	L												20181108192039
132	M												20181108192039
134	P												20181108192039
136	M												20181108192039
137	C												20181108192039
139	E.												20181108192039
140	M												20181108192039
141	L.												20181108192039
142	PHILIP												20181108192039
144	MINH												20181108192039
146	ANTHONY												20181108192039
148	KENT												20181108192039
150	FRANKLIN												20181108192039
152	J												20181108192039
153	E												20181108192039
157	A												20181108192039
158	ROBERT												20181108192039
159	D												20181108192039
160	L												20181108192039
161	LORRAINE												20181108192039
163	ALAN												20181108192039
164	JOSEPH												20181108192039
165	ROBERT												20181108192039
167	W												20181108192039
170	M.												20181108192039
171	W.												20181108192039
172	MEEK												20181108192039
173	BONNELL												20181108192039
175	B												20181108192039
176	Q												20181108192039
180	P												20181108192039
183	J.												20181108192039
185	M.												20181108192039
190	J												20181108192039
194	RYAN												20181108192039
196	DALE												20181108192039
197	D												20181108192039
198	L												20181108192039
199	L												20181108192039
200	J.												20181108192039
202	W												20181108192039
203	A												20181108192039
204	A												20181108192039
205	L												20181108192039
206	L												20181108192039
207	MICHAEL												20181108192039
