Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
3	SUITE 330												20181108192038
6	PO BOX 2563												20181108192038
7	675 EAST HWY 60												20181108192038
8	ATTN: ANNE LAWSON												20181108192038
13	SUITE 200 EAST												20181108192038
16	OBGYN MEDICAL CENTER ASSOCIATES, PLLC												20181108192038
17	SUITE 350												20181108192038
18	OBGYN MEDICAL CENTER ASSOCIATES PLLC												20181108192038
19	STE 7												20181108192038
25	STE F												20181108192038
26	SUITE 350												20181108192038
28	#100												20181108192038
29	STE 200												20181108192038
36	STE 2109A												20181108192038
38	DOOR D												20181108192038
40	STE 250												20181108192038
41	APT 516												20181108192038
45	SUITE 307												20181108192038
46	SUITE 1400												20181108192038
48	C B 8109												20181108192038
49	STE 10												20181108192038
50	STE 450												20181108192038
53	BLDG 501												20181108192038
55	OBGYN MEDICAL CENTER, PLLC												20181108192038
57	STE 450												20181108192038
58	STE 920												20181108192038
59	2ND FLOOR												20181108192038
61	SUITE 370												20181108192038
64	STE 1												20181108192038
68	STE 106												20181108192038
71	STE 450												20181108192038
72	STE 1J												20181108192038
73	STE 450												20181108192038
74	SUITE 401												20181108192038
79	3RD FLOOR												20181108192038
82	STE 200												20181108192038
84	HPB G080												20181108192038
85	# 200												20181108192038
86	STE 306												20181108192038
87	STE 213A												20181108192038
89	STE 200												20181108192038
90	STE 200												20181108192038
91	STE 213A												20181108192038
92	SUITE 525												20181108192038
95	STE 200												20181108192038
97	STE 201												20181108192038
99	SAJAK PAVILION, SUITE 320												20181108192038
100	SUITE D												20181108192038
101	# A-4												20181108192038
102	STE 24												20181108192038
104	STE 102												20181108192038
106	SUITE B204												20181108192038
107	STE 310												20181108192038
109	SUITE C												20181108192038
110	STE 300												20181108192038
111	STE 301												20181108192038
113	STE 103												20181108192039
120	SUITE 6C												20181108192039
121	STE 5												20181108192039
125	STE 100												20181108192039
