Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
8	M.D.												20181108191325
61	RN												20181108191325
72	D.P.M.												20181108191326
74	P.T.												20181108191326
99	R.N.												20181108191326
106	BSE												20181108191326
133	M.D.												20181108191326
176	CHIEF												20181108191326
180	MD												20181108191326
198	PHD												20181108191326
242	LVN												20181108191326
257	M.D.												20181108191326
273	M.D.												20181108191326
279	M. D.												20181108191326
292	D.D.S.												20181108191326
296	PHN												20181108191326
301	R.N., B.S.N.												20181108191326
318	C. PED.												20181108191326
332	MD												20181108191326
358	M.D.												20181108191326
411	NHA												20181108191326
419	R.PH.												20181108191326
438	MD												20181108191326
458	RN, MSM												20181108191327
476	RPH												20181108191327
491	MD												20181108191327
499	PHARM.D.												20181108191327
517	RN												20181108191327
531	CPA												20181108191327
537	P.T.												20181108191327
541	MA												20181108191327
578	CHE												20181108191327
587	BS PHARMACY												20181108191327
617	PHARMACIST												20181108191327
627	MD												20181108191327
652	CPA												20181108191327
668	PHD, HSPP												20181108191327
701	M.T.												20181108191327
704	R.N.												20181108191327
713	D.M.D.												20181108191327
722	NHA												20181108191327
731	MD												20181108191327
749	VP												20181108191327
796	OD												20181108191327
798	C.P.O.												20181108191327
800	M.D.												20181108191327
803	BOC-O												20181108191327
823	M.D.												20181108191328
832	D.D.S.												20181108191328
837	P.T.												20181108191328
849	MD												20181108191328
857	L.O., L.PED												20181108191328
882	PRESIDENT												20181108191328
883	JD												20181108191328
911	D.D.S.												20181108191328
955	CPC, CPC-H												20181108191328
970	MS, RN-CS												20181108191328
1017	EMT-I, TO1												20181108191328
1020	LPO												20181108191328
1025	MD												20181108191328
1047	MD												20181108191328
1057	DO												20181108191328
1081	M.ED, LPC												20181108191328
1084	M.D.												20181108191328
1115	M.D.												20181108191328
1167	M.D.												20181108191328
1206	RN, MSA												20181108191329
1209	PHD												20181108191329
1214	M.D.												20181108191329
1221	C.P.O.												20181108191329
1225	MSW												20181108191329
1254	R.N.												20181108191329
1270	BSBA												20181108191329
1293	M.D.												20181108191329
1303	P.H.N.												20181108191329
1310	LCSW-C												20181108191329
1323	RPH												20181108191329
1329	RPH, MBA												20181108191329
1371	RN, BSN												20181108191329
1375	MPT												20181108191329
1381	MSR, CCC-SLP												20181108191329
1393	DDS												20181108191329
1396	DDS												20181108191329
1397	RPH												20181108191329
1401	RPH												20181108191329
1402	MD												20181108191329
1431	RPH												20181108191329
1484	M.D., M.S.A.												20181108191329
1518	M.D.												20181108191329
1549	MBA												20181108191330
1561	BSN												20181108191330
1574	LNHA												20181108191330
1583	MD												20181108191330
1594	R.PH.												20181108191330
1605	M.D.												20181108191330
1643	MD												20181108191330
1646	MD												20181108191330
1672	RPH												20181108191330
1696	D.O.												20181108191330
1701	MBA, CASAC												20181108191330
1707	R.T.R., MR												20181108191330
1742	V.P.												20181108191330
1750	CP												20181108191330
1791	MD												20181108191330
1797	O.D.												20181108191330
1809	LPO, CPO, BOCPO												20181108191330
1818	RPH												20181108191330
1821	D.O.												20181108191330
1822	D.O.												20181108191330
1823	R.PH.												20181108191330
1826	MD												20181108191330
1832	PHARM D												20181108191330
1855	CPO												20181108191330
1860	BA, RVT, RT												20181108191330
1862	M.D.												20181108191330
1869	M.D.												20181108191330
1872	CP												20181108191330
1934	PT, MS, ATC												20181108191331
1956	P.T.												20181108191331
1964	M.D.												20181108191331
1971	MD												20181108191331
1981	MD												20181108191331
