Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
263	JR.												20181108191326
277	JR.												20181108191326
411	II												20181108191326
419	JR.												20181108191326
463	JR.												20181108191327
537	JR.												20181108191327
731	JR.												20181108191327
1303	II												20181108191329
1603	JR.												20181108191330
1605	JR.												20181108191330
1791	JR.												20181108191330
1869	JR.												20181108191330
1900	JR.												20181108191330
