Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	01									1	1		20181108191325
5	01									1	1		20181108191325
16	05									5	5		20181108191325
20	05									5	5		20181108191325
21	05									5	5		20181108191325
22	01									1	1		20181108191325
24	05									5	5		20181108191325
29	05									5	5		20181108191325
39	05									5	5		20181108191325
40	01									1	1		20181108191325
42	05									5	5		20181108191325
44	01									1	1		20181108191325
46	01									1	1		20181108191325
47	05									5	5		20181108191325
48	05									5	5		20181108191325
55	01									1	1		20181108191325
58	01									1	1		20181108191325
61	01									1	1		20181108191325
66	01									1	1		20181108191326
72	01									1	1		20181108191326
76	01									1	1		20181108191326
77	05									5	5		20181108191326
81	01									1	1		20181108191326
84	01									1	1		20181108191326
87	01									1	1		20181108191326
91	01									1	1		20181108191326
93	01									1	1		20181108191326
94	01									1	1		20181108191326
99	01									1	1		20181108191326
101	05									5	5		20181108191326
102	01									1	1		20181108191326
106	05									5	5		20181108191326
110	01									1	1		20181108191326
115	01									1	1		20181108191326
116	01									1	1		20181108191326
126	01									1	1		20181108191326
129	01									1	1		20181108191326
130	05									5	5		20181108191326
132	01									1	1		20181108191326
133	01									1	1		20181108191326
137	05									5	5		20181108191326
139	01									1	1		20181108191326
144	05									5	5		20181108191326
148	05									5	5		20181108191326
159	01									1	1		20181108191326
160	05									5	5		20181108191326
164	05									5	5		20181108191326
165	01									1	1		20181108191326
166	05									5	5		20181108191326
167	05									5	5		20181108191326
170	01									1	1		20181108191326
172	05									5	5		20181108191326
176	01									1	1		20181108191326
177	01									1	1		20181108191326
179	01									1	1		20181108191326
182	05									5	5		20181108191326
183	01									1	1		20181108191326
186	05									5	5		20181108191326
187	01									1	1		20181108191326
190	05									5	5		20181108191326
192	01									1	1		20181108191326
193	05									5	5		20181108191326
195	01									1	1		20181108191326
197	01									1	1		20181108191326
202	01									1	1		20181108191326
203	01									1	1		20181108191326
205	05									5	5		20181108191326
207	01									1	1		20181108191326
209	01									1	1		20181108191326
210	05									5	5		20181108191326
217	01									1	1		20181108191326
218	01									1	1		20181108191326
219	01									1	1		20181108191326
224	01									1	1		20181108191326
225	05									5	5		20181108191326
227	01									1	1		20181108191326
228	01									1	1		20181108191326
231	05									5	5		20181108191326
232	05									5	5		20181108191326
233	01									1	1		20181108191326
248	01									1	1		20181108191326
251	05									5	5		20181108191326
253	05									5	5		20181108191326
258	05									5	5		20181108191326
263	01									1	1		20181108191326
264	01									1	1		20181108191326
265	01									1	1		20181108191326
266	01									1	1		20181108191326
267	01									1	1		20181108191326
272	05									5	5		20181108191326
275	05									5	5		20181108191326
277	05									5	5		20181108191326
278	01									1	1		20181108191326
281	01									1	1		20181108191326
283	05									5	5		20181108191326
290	01									1	1		20181108191326
291	01									1	1		20181108191326
294	01									1	1		20181108191326
295	01									1	1		20181108191326
296	05									5	5		20181108191326
303	05									5	5		20181108191326
309	05									5	5		20181108191326
310	05									5	5		20181108191326
312	01									1	1		20181108191326
317	01									1	1		20181108191326
322	01									1	1		20181108191326
328	01									1	1		20181108191326
339	01									1	1		20181108191326
341	01									1	1		20181108191326
342	05									5	5		20181108191326
347	05									5	5		20181108191326
348	05									5	5		20181108191326
352	01									1	1		20181108191326
355	05									5	5		20181108191326
363	01									1	1		20181108191326
368	05									5	5		20181108191326
373	01									1	1		20181108191326
375	01									1	1		20181108191326
376	01									1	1		20181108191326
378	01									1	1		20181108191326
385	05									5	5		20181108191326
386	05									5	5		20181108191326
389	01									1	1		20181108191326
391	05									5	5		20181108191326
400	05									5	5		20181108191326
401	01									1	1		20181108191326
402	05									5	5		20181108191326
403	01									1	1		20181108191326
407	01									1	1		20181108191326
410	05									5	5		20181108191326
413	01									1	1		20181108191326
414	01									1	1		20181108191326
415	05									5	5		20181108191326
417	01									1	1		20181108191326
419	01									1	1		20181108191326
420	05									5	5		20181108191326
422	05									5	5		20181108191326
428	05									5	5		20181108191326
434	01									1	1		20181108191326
448	01									1	1		20181108191327
449	05									5	5		20181108191327
453	01									1	1		20181108191327
454	05									5	5		20181108191327
460	05									5	5		20181108191327
461	01									1	1		20181108191327
463	01									1	1		20181108191327
467	05									5	5		20181108191327
468	05									5	5		20181108191327
469	05									5	5		20181108191327
475	05									5	5		20181108191327
480	01									1	1		20181108191327
485	01									1	1		20181108191327
488	01									1	1		20181108191327
496	01									1	1		20181108191327
500	05									5	5		20181108191327
501	01									1	1		20181108191327
502	01									1	1		20181108191327
506	05									5	5		20181108191327
507	05									5	5		20181108191327
516	01									1	1		20181108191327
518	05									5	5		20181108191327
520	05									5	5		20181108191327
522	05									5	5		20181108191327
524	01									1	1		20181108191327
526	01									1	1		20181108191327
528	01									1	1		20181108191327
529	01									1	1		20181108191327
534	05									5	5		20181108191327
539	01									1	1		20181108191327
540	01									1	1		20181108191327
544	05									5	5		20181108191327
549	05									5	5		20181108191327
550	05									5	5		20181108191327
558	01									1	1		20181108191327
