Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	KEARNEY												20181108191325
2	PHOENIX												20181108191325
3	MARIETTA												20181108191325
4	MANTUA												20181108191325
5	CANANDAIGUA												20181108191325
6	HARLEYSVILLE												20181108191325
7	SALT LAKE CITY												20181108191325
8	FORT WAYNE												20181108191325
9	MORRISTOWN												20181108191325
10	MARIETTA												20181108191325
11	SALT LAKE CITY												20181108191325
13	CALMAR												20181108191325
14	WETHERSFIELD												20181108191325
15	DOVER												20181108191325
16	SYRACUSE												20181108191325
17	FARIBAULT												20181108191325
18	NORTH OLMSTED												20181108191325
19	TYLER												20181108191325
20	EDEN PRAIRIE												20181108191325
21	TIGARD												20181108191325
22	JEFFERSON CITY												20181108191325
23	PASADENA												20181108191325
24	VANCOUVER												20181108191325
25	MONROE												20181108191325
27	CHARLOTTE												20181108191325
28	TAYLORSVILLE												20181108191325
29	DERWOOD												20181108191325
30	ALBANY												20181108191325
31	LOS ANGELES												20181108191325
32	CHAMPAIGN												20181108191325
34	LAKEWOOD												20181108191325
35	SPRINGFIELD												20181108191325
36	ALBEMARLE												20181108191325
37	PHOENIX												20181108191325
38	JOHNSTOWN												20181108191325
39	NASHVILLE												20181108191325
40	LANCASTER												20181108191325
42	ALBUQUERQUE												20181108191325
43	HAGERSTOWN												20181108191325
44	FT MYERS												20181108191325
45	MIDLAND PARK												20181108191325
46	AUSTIN												20181108191325
47	ZANESVILLE												20181108191325
48	DURHAM												20181108191325
49	CHICAGO												20181108191325
50	BOLINGBROOK												20181108191325
51	NEW ROCHELLE												20181108191325
52	MIDDLEBURG												20181108191325
53	SAN ANTONIO												20181108191325
54	KENILWORTH												20181108191325
55	VINEYARD HAVEN												20181108191325
56	WELLINGTON												20181108191325
57	MEREDITH												20181108191325
58	INDEPENDENCE												20181108191325
60	GUAYNABO												20181108191325
61	DALLAS												20181108191325
62	MIRAMAR												20181108191325
63	SURPRISE												20181108191326
64	CASA GRANDE												20181108191326
65	FISHKILL												20181108191326
66	FERNANDINA BEACH												20181108191326
67	AMHERST												20181108191326
68	SAN FRANCISCO												20181108191326
70	WEXFORD												20181108191326
71	MANCHESTER												20181108191326
72	BROWNWOOD												20181108191326
73	CLOVER												20181108191326
74	KEARNEY												20181108191326
75	CLEVELAND												20181108191326
76	NEW ORLEANS												20181108191326
77	WACO												20181108191326
78	BOCA RATON												20181108191326
79	SOMERSET												20181108191326
80	HARLEYSVILLE												20181108191326
81	FAYETTEVILLE												20181108191326
83	BELTON												20181108191326
84	JACKSONVILLE												20181108191326
85	DENVER												20181108191326
86	ELGIN												20181108191326
87	THE VILLAGES												20181108191326
88	CHILLICOTHE												20181108191326
89	WEXFORD												20181108191326
90	COLUMBUS												20181108191326
91	PHILADELPHIA												20181108191326
93	JACKSONVILLE												20181108191326
94	WENATCHEE												20181108191326
95	WARREN												20181108191326
96	NORTHVILLE												20181108191326
97	WARREN												20181108191326
98	TAMPA												20181108191326
99	NORTH EAST												20181108191326
100	HAGERSTOWN												20181108191326
101	KNOXVILLE												20181108191326
102	SARASOTA												20181108191326
103	FORT MYERS												20181108191326
104	WEXFORD												20181108191326
105	HAMMOND												20181108191326
106	SOUTH BEND												20181108191326
107	WEXFORD												20181108191326
108	EXETER												20181108191326
109	AMARILLO												20181108191326
110	NORWICH												20181108191326
111	CHICAGO												20181108191326
112	WILMETTE												20181108191326
113	LANGHORNE												20181108191326
114	NEW ROCHELLE												20181108191326
115	LA PALMA												20181108191326
116	MAYFIELD HTS												20181108191326
117	ELIZABETH												20181108191326
118	EUREKA												20181108191326
119	SOMERS												20181108191326
120	UNDERHILL												20181108191326
121	GRAND RAPIDS												20181108191326
122	PLAINS												20181108191326
123	HOUSTON												20181108191326
124	CHICAGO												20181108191326
126	STATE COLLEGE												20181108191326
127	NORTHRIDGE												20181108191326
128	WEST PALM BEACH												20181108191326
129	CANAL WINCHESTER												20181108191326
130	AURORA												20181108191326
131	LOUISVILLE												20181108191326
132	PEMBROKE PINES												20181108191326
133	MAYFIELD HTS												20181108191326
134	COLUMBUS												20181108191326
135	TERRE HAUTE												20181108191326
136	SAN LUIS OBISPO												20181108191326
137	FAYETTEVILLE												20181108191326
138	MIAMI												20181108191326
139	PEMBROKE PINES												20181108191326
140	CAROL STREAM												20181108191326
142	ORANGE												20181108191326
143	BROKEN ARROW												20181108191326
144	FORT WORTH												20181108191326
145	NASHVILLE												20181108191326
146	BURLINGTON												20181108191326
147	MIAMI												20181108191326
148	NEWTON												20181108191326
149	LINCOLN												20181108191326
150	TAMPA												20181108191326
151	SAN JUAN												20181108191326
152	SALISBURY												20181108191326
153	HAGERSTOWN												20181108191326
154	KNOXVILLE												20181108191326
155	PEMBROKE PINES												20181108191326
156	YOUNGSTOWN												20181108191326
157	EUSTIS												20181108191326
158	WEXFORD												20181108191326
159	PALESTINE												20181108191326
160	JACKSONVILLE												20181108191326
161	TOLEDO												20181108191326
162	NASHVILLE												20181108191326
163	WARSAW												20181108191326
164	LUBBOCK												20181108191326
165	ALBUQUERQUE												20181108191326
166	BURNET												20181108191326
167	LAKEWOOD												20181108191326
168	BEDFORD												20181108191326
169	SETAUKET												20181108191326
170	COLUMBUS												20181108191326
171	BOCA RATON												20181108191326
172	PASADENA												20181108191326
174	MEMPHIS												20181108191326
176	PALATINE												20181108191326
177	NEWPORT NEWS												20181108191326
178	AUSTIN												20181108191326
179	CAMP HILL												20181108191326
