Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	688482168									688482168	688482168		20181108191325
2	850168034									850168034	850168034		20181108191325
3	300609403									300609403	300609403		20181108191325
4	080511606									80511606	80511606		20181108191325
5	144241728									144241728	144241728		20181108191325
6	194380907									194380907	194380907		20181108191325
7	841174961									841174961	841174961		20181108191325
8	468012526									468012526	468012526		20181108191325
9	378141084									378141084	378141084		20181108191325
10	300609403									300609403	300609403		20181108191325
11	841242603									841242603	841242603		20181108191325
13	521327577									521327577	521327577		20181108191325
14	061091278									61091278	61091278		20181108191325
15	038203643									38203643	38203643		20181108191325
16	132101203									132101203	132101203		20181108191325
17	550215441									550215441	550215441		20181108191325
18	440704013									440704013	440704013		20181108191325
19	757018355									757018355	757018355		20181108191325
20	553443374									553443374	553443374		20181108191325
21	972247736									972247736	972247736		20181108191325
22	651104240									651104240	651104240		20181108191325
23	775042176									775042176	775042176		20181108191325
24	986846930									986846930	986846930		20181108191325
25	712013008									712013008	712013008		20181108191325
27	282602373									282602373	282602373		20181108191325
28	84123									84123	84123		20181108191325
29	208551836									208551836	208551836		20181108191325
30	122041030									122041030	122041030		20181108191325
31	900311422									900311422	900311422		20181108191325
32	618207593									618207593	618207593		20181108191325
34	907121509									907121509	907121509		20181108191325
35	627032403									627032403	627032403		20181108191325
36	280013449									280013449	280013449		20181108191325
37	850642490									850642490	850642490		20181108191325
38	159054305									159054305	159054305		20181108191325
39	372035180									372035180	372035180		20181108191325
40	176044216									176044216	176044216		20181108191325
42	871084729									871084729	871084729		20181108191325
43	217423108									217423108	217423108		20181108191325
44	339014900									339014900	339014900		20181108191325
45	074320343									74320343	74320343		20181108191325
46	78749									78749	78749		20181108191325
47	437011487									437011487	437011487		20181108191325
48	277042121									277042121	277042121		20181108191325
49	606035300									606035300	606035300		20181108191325
50	604404909									604404909	604404909		20181108191325
51	108016111									108016111	108016111		20181108191325
52	178428910									178428910	178428910		20181108191325
53	782293539									782293539	782293539		20181108191325
54	070331657									70331657	70331657		20181108191325
55	025685601									25685601	25685601		20181108191325
56	67152									67152	67152		20181108191325
57	032535715									32535715	32535715		20181108191325
58	441312351									441312351	441312351		20181108191325
60	009694457									9694457	9694457		20181108191325
61	752434411									752434411	752434411		20181108191325
62	330253931									330253931	330253931		20181108191325
63	853747279									853747279	853747279		20181108191326
64	852300097									852300097	852300097		20181108191326
65	125241630									125241630	125241630		20181108191326
66	320343092									320343092	320343092		20181108191326
67	440011174									440011174	440011174		20181108191326
68	941181863									941181863	941181863		20181108191326
70	150909303									150909303	150909303		20181108191326
71	031011235									31011235	31011235		20181108191326
72	76801									76801	76801		20181108191326
73	297108124									297108124	297108124		20181108191326
74	68845									68845	68845		20181108191326
75	373123713									373123713	373123713		20181108191326
76	701193221									701193221	701193221		20181108191326
77	767020308									767020308	767020308		20181108191326
78	334316437									334316437	334316437		20181108191326
79	155012033									155012033	155012033		20181108191326
80	194380907									194380907	194380907		20181108191326
81	283043815									283043815	283043815		20181108191326
83	640122165									640122165	640122165		20181108191326
84	322044735									322044735	322044735		20181108191326
85	802113704									802113704	802113704		20181108191326
86	601232019									601232019	601232019		20181108191326
87	321622699									321622699	321622699		20181108191326
88	456019031									456019031	456019031		20181108191326
89	150909303									150909303	150909303		20181108191326
90	319092642									319092642	319092642		20181108191326
91	191113016									191113016	191113016		20181108191326
93	322475720									322475720	322475720		20181108191326
94	988012028									988012028	988012028		20181108191326
95	444844706									444844706	444844706		20181108191326
96	481672098									481672098	481672098		20181108191326
97	444844706									444844706	444844706		20181108191326
98	336062707									336062707	336062707		20181108191326
99	16428									16428	16428		20181108191326
100	217406474									217406474	217406474		20181108191326
101	379192333									379192333	379192333		20181108191326
102	342365945									342365945	342365945		20181108191326
103	339022147									339022147	339022147		20181108191326
104	150909303									150909303	150909303		20181108191326
105	704031478									704031478	704031478		20181108191326
106	466351583									466351583	466351583		20181108191326
107	150909308									150909308	150909308		20181108191326
108	038334849									38334849	38334849		20181108191326
109	791061705									791061705	791061705		20181108191326
110	063602616									63602616	63602616		20181108191326
111	606133910									606133910	606133910		20181108191326
112	600913023									600913023	600913023		20181108191326
113	190472180									190472180	190472180		20181108191326
114	108015028									108015028	108015028		20181108191326
115	906231730									906231730	906231730		20181108191326
116	441244192									441244192	441244192		20181108191326
117	072021352									72021352	72021352		20181108191326
118	630253731									630253731	630253731		20181108191326
119	105890101									105890101	105890101		20181108191326
120	054899610									54899610	54899610		20181108191326
121	495343638									495343638	495343638		20181108191326
122	598599540									598599540	598599540		20181108191326
123	770902833									770902833	770902833		20181108191326
124	606183624									606183624	606183624		20181108191326
126	168036709									168036709	168036709		20181108191326
127	91324									91324	91324		20181108191326
128	334093509									334093509	334093509		20181108191326
129	431109585									431109585	431109585		20181108191326
130	605045502									605045502	605045502		20181108191326
131	402021745									402021745	402021745		20181108191326
132	330246456									330246456	330246456		20181108191326
133	441242299									441242299	441242299		20181108191326
134	397051501									397051501	397051501		20181108191326
135	478089524									478089524	478089524		20181108191326
