Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	NE												20181108191325
2	AZ												20181108191325
3	GA												20181108191325
4	NJ												20181108191325
5	NY												20181108191325
6	PA												20181108191325
7	UT												20181108191325
8	IN												20181108191325
9	TN												20181108191325
10	GA												20181108191325
11	UT												20181108191325
13	IA												20181108191325
14	CT												20181108191325
15	NH												20181108191325
16	NY												20181108191325
17	MN												20181108191325
18	OH												20181108191325
19	TX												20181108191325
20	MN												20181108191325
21	OR												20181108191325
22	MO												20181108191325
23	TX												20181108191325
24	WA												20181108191325
25	LA												20181108191325
27	NC												20181108191325
28	UT												20181108191325
29	MD												20181108191325
30	NY												20181108191325
31	CA												20181108191325
32	IL												20181108191325
34	CA												20181108191325
35	IL												20181108191325
36	NC												20181108191325
37	AZ												20181108191325
38	PA												20181108191325
39	TN												20181108191325
40	PA												20181108191325
42	NM												20181108191325
43	MD												20181108191325
44	FL												20181108191325
45	NJ												20181108191325
46	TX												20181108191325
47	OH												20181108191325
48	NC												20181108191325
49	IL												20181108191325
50	IL												20181108191325
51	NY												20181108191325
52	PA												20181108191325
53	TX												20181108191325
54	NJ												20181108191325
55	MA												20181108191325
56	KS												20181108191325
57	NH												20181108191325
58	OH												20181108191325
60	PR												20181108191325
61	TX												20181108191325
62	FL												20181108191325
63	AZ												20181108191326
64	AZ												20181108191326
65	NY												20181108191326
66	FL												20181108191326
67	OH												20181108191326
68	CA												20181108191326
70	PA												20181108191326
71	NH												20181108191326
72	TX												20181108191326
73	SC												20181108191326
74	NE												20181108191326
75	TN												20181108191326
76	LA												20181108191326
77	TX												20181108191326
78	FL												20181108191326
79	PA												20181108191326
80	PA												20181108191326
81	NC												20181108191326
83	MO												20181108191326
84	FL												20181108191326
85	CO												20181108191326
86	IL												20181108191326
87	FL												20181108191326
88	OH												20181108191326
89	PA												20181108191326
90	GA												20181108191326
91	PA												20181108191326
93	FL												20181108191326
94	WA												20181108191326
95	OH												20181108191326
96	MI												20181108191326
97	OH												20181108191326
98	FL												20181108191326
99	PA												20181108191326
100	MD												20181108191326
101	TN												20181108191326
102	FL												20181108191326
103	FL												20181108191326
104	PA												20181108191326
105	LA												20181108191326
106	IN												20181108191326
107	PA												20181108191326
108	NH												20181108191326
109	TX												20181108191326
110	CT												20181108191326
111	IL												20181108191326
112	IL												20181108191326
113	PA												20181108191326
114	NY												20181108191326
115	CA												20181108191326
116	OH												20181108191326
117	NJ												20181108191326
118	MO												20181108191326
119	NY												20181108191326
120	VT												20181108191326
121	MI												20181108191326
122	MT												20181108191326
123	TX												20181108191326
124	IL												20181108191326
126	PA												20181108191326
127	CA												20181108191326
128	FL												20181108191326
129	OH												20181108191326
130	IL												20181108191326
131	KY												20181108191326
132	FL												20181108191326
133	OH												20181108191326
134	MS												20181108191326
135	IN												20181108191326
136	CA												20181108191326
137	NC												20181108191326
138	FL												20181108191326
139	FL												20181108191326
140	IL												20181108191326
142	CA												20181108191326
143	OK												20181108191326
144	TX												20181108191326
145	TN												20181108191326
146	NC												20181108191326
147	FL												20181108191326
148	IA												20181108191326
149	NE												20181108191326
150	FL												20181108191326
151	PR												20181108191326
152	MD												20181108191326
153	MD												20181108191326
154	TN												20181108191326
155	FL												20181108191326
156	OH												20181108191326
157	FL												20181108191326
158	PA												20181108191326
159	TX												20181108191326
160	FL												20181108191326
161	OH												20181108191326
162	TN												20181108191326
163	IN												20181108191326
164	TX												20181108191326
165	NM												20181108191326
166	TX												20181108191326
167	NJ												20181108191326
168	NH												20181108191326
169	NY												20181108191326
170	GA												20181108191326
171	FL												20181108191326
172	CA												20181108191326
174	TN												20181108191326
176	IL												20181108191326
177	VA												20181108191326
178	TX												20181108191326
179	PA												20181108191326
180	LA												20181108191326
181	OH												20181108191326
182	TN												20181108191326
183	VA												20181108191326
184	NJ												20181108191326
185	OK												20181108191326
186	IN												20181108191326
187	FL												20181108191326
188	TX												20181108191326
189	TX												20181108191326
190	FL												20181108191326
191	NC												20181108191326
192	ME												20181108191326
193	PA												20181108191326
194	LA												20181108191326
195	OH												20181108191326
196	GA												20181108191326
197	FL												20181108191326
198	FL												20181108191326
200	PA												20181108191326
201	OK												20181108191326
202	NY												20181108191326
203	FL												20181108191326
204	FL												20181108191326
205	OH												20181108191326
206	KY												20181108191326
207	OK												20181108191326
208	NY												20181108191326
209	TX												20181108191326
210	FL												20181108191326
211	NY												20181108191326
212	FL												20181108191326
213	OH												20181108191326
215	VA												20181108191326
216	FL												20181108191326
217	TN												20181108191326
218	NM												20181108191326
219	TN												20181108191326
220	TN												20181108191326
221	AZ												20181108191326
223	NV												20181108191326
224	TX												20181108191326
225	FL												20181108191326
226	WA												20181108191326
227	CO												20181108191326
228	FL												20181108191326
229	NM												20181108191326
230	TN												20181108191326
231	TN												20181108191326
232	NJ												20181108191326
233	KY												20181108191326
234	NM												20181108191326
235	TX												20181108191326
236	CT												20181108191326
237	FL												20181108191326
238	MN												20181108191326
239	OH												20181108191326
240	NE												20181108191326
241	CT												20181108191326
242	CA												20181108191326
243	KY												20181108191326
244	VA												20181108191326
245	DC												20181108191326
246	GA												20181108191326
247	PA												20181108191326
248	TX												20181108191326
249	CA												20181108191326
250	MI												20181108191326
251	SC												20181108191326
252	IN												20181108191326
253	CA												20181108191326
254	FL												20181108191326
255	ME												20181108191326
256	NV												20181108191326
257	LA												20181108191326
258	AZ												20181108191326
259	FL												20181108191326
260	TN												20181108191326
261	NY												20181108191326
262	NY												20181108191326
263	KY												20181108191326
264	GA												20181108191326
265	ME												20181108191326
266	AZ												20181108191326
267	TN												20181108191326
268	PA												20181108191326
269	PA												20181108191326
270	MI												20181108191326
271	CA												20181108191326
272	OK												20181108191326
273	CA												20181108191326
274	OH												20181108191326
275	GA												20181108191326
276	CA												20181108191326
277	TX												20181108191326
278	WA												20181108191326
279	MS												20181108191326
281	FL												20181108191326
282	CT												20181108191326
283	FL												20181108191326
284	KY												20181108191326
285	OR												20181108191326
286	IL												20181108191326
287	TX												20181108191326
288	WA												20181108191326
289	IL												20181108191326
290	MN												20181108191326
291	GA												20181108191326
292	CO												20181108191326
293	MI												20181108191326
294	PA												20181108191326
295	IN												20181108191326
296	MN												20181108191326
297	KS												20181108191326
298	GA												20181108191326
299	NY												20181108191326
300	MO												20181108191326
301	NE												20181108191326
302	OH												20181108191326
303	IA												20181108191326
304	MS												20181108191326
305	OK												20181108191326
306	IN												20181108191326
307	TX												20181108191326
308	TX												20181108191326
309	MA												20181108191326
310	FL												20181108191326
311	AZ												20181108191326
312	IN												20181108191326
313	TN												20181108191326
314	TN												20181108191326
315	OH												20181108191326
317	CA												20181108191326
318	FL												20181108191326
319	GA												20181108191326
320	TX												20181108191326
321	GA												20181108191326
322	MA												20181108191326
323	AR												20181108191326
324	IN												20181108191326
325	WI												20181108191326
326	CA												20181108191326
327	PA												20181108191326
328	NY												20181108191326
329	NJ												20181108191326
330	NY												20181108191326
331	MD												20181108191326
332	NC												20181108191326
333	KY												20181108191326
334	AL												20181108191326
335	TN												20181108191326
336	IL												20181108191326
337	IL												20181108191326
