Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	M.D.												20181108191325
2	MD												20181108191325
3	M.D.												20181108191325
4	O.D.												20181108191325
5	M.D.												20181108191325
6	M.D.												20181108191325
7	DPM												20181108191325
9	PHARMD												20181108191325
10	M.D.												20181108191325
13	M.D.												20181108191325
14	MD												20181108191325
15	O.D.												20181108191325
16	M.D.												20181108191325
17	M.D.												20181108191325
18	DC												20181108191325
19	M. D.												20181108191325
21	PT												20181108191325
22	M.D.												20181108191325
23	MD												20181108191325
24	M.D.												20181108191325
25	O. D.												20181108191325
27	MD												20181108191325
29	D.O.												20181108191325
30	M.D.												20181108191325
34	M.D.												20181108191325
35	C.F.N.P.												20181108191325
37	PT												20181108191325
39	M.D.												20181108191325
40	M.D.												20181108191325
42	MD												20181108191325
44	MD												20181108191325
45	M.D.												20181108191325
46	M.D.												20181108191325
47	MD												20181108191325
48	MD												20181108191325
49	MD												20181108191325
52	CRNP, DNP												20181108191325
53	M.D.												20181108191325
54	D.P.M												20181108191325
58	M.D.												20181108191325
60	M.D.												20181108191325
62	MD												20181108191325
63	PT, DPT												20181108191326
64	P.A.-C.												20181108191326
65	D.D.S.												20181108191326
66	AU.D.												20181108191326
67	D.D.S.												20181108191326
68	DDS												20181108191326
70	MD												20181108191326
71	MD												20181108191326
73	D.C., LAC												20181108191326
76	M.D.												20181108191326
77	M.D.												20181108191326
78	MD												20181108191326
80	M.D.												20181108191326
81	M.D.												20181108191326
83	M.D.												20181108191326
84	MD												20181108191326
85	ARNP												20181108191326
86	DC DABCO												20181108191326
87	D.O.												20181108191326
88	D.O.												20181108191326
89	DO												20181108191326
90	PHARMD, BCPS, CDM												20181108191326
93	MD												20181108191326
94	DO												20181108191326
95	M.D.												20181108191326
96	PHARMD												20181108191326
97	M.D.												20181108191326
98	MD												20181108191326
100	M.D.												20181108191326
101	MD												20181108191326
103	M.D.												20181108191326
104	MD												20181108191326
105	AU.D., CCC-A/SLP												20181108191326
107	MD												20181108191326
108	M.D.												20181108191326
109	LPC												20181108191326
110	MD, RPH												20181108191326
111	D.M.D.												20181108191326
112	M.D.												20181108191326
113	M.D.												20181108191326
114	D.D.S.												20181108191326
115	MD.												20181108191326
116	LISW												20181108191326
117	D.D.S.												20181108191326
118	D.M.D.												20181108191326
119	M.D.												20181108191326
120	O.D.												20181108191326
121	D.D.S												20181108191326
122	CRNA												20181108191326
123	D.D.S.												20181108191326
124	D.D.S.												20181108191326
126	MD												20181108191326
127	D.D.S.												20181108191326
128	D.D.S.												20181108191326
129	M.D.												20181108191326
131	MD												20181108191326
132	M.D.												20181108191326
134	M.D.												20181108191326
135	M.D.												20181108191326
137	M.D.												20181108191326
138	MD												20181108191326
139	M.D.												20181108191326
140	M.D.												20181108191326
142	M.D.												20181108191326
143	D.O.												20181108191326
144	M.D.												20181108191326
145	M.D.												20181108191326
147	MD												20181108191326
149	CRNA												20181108191326
150	PHARM.D.												20181108191326
151	M.D.												20181108191326
152	D.O.												20181108191326
153	M.D.												20181108191326
154	MD												20181108191326
155	M.D.												20181108191326
158	MD												20181108191326
159	M.D.												20181108191326
160	MD												20181108191326
161	M.D.												20181108191326
162	M.D.												20181108191326
165	DC												20181108191326
166	O.D.												20181108191326
168	ARNP-C, CEDS												20181108191326
169	MD												20181108191326
170	M.D.												20181108191326
171	DPM												20181108191326
172	M.D.												20181108191326
174	MD												20181108191326
177	M.D.												20181108191326
178	MSPT												20181108191326
179	M.D.												20181108191326
181	M.D.												20181108191326
182	MD												20181108191326
183	DC												20181108191326
184	M.D.												20181108191326
185	DO												20181108191326
186	M.D.												20181108191326
188	M.D.												20181108191326
189	DPM												20181108191326
190	M.D.												20181108191326
191	MD												20181108191326
192	M.D.												20181108191326
193	M.D.												20181108191326
194	M.D.												20181108191326
195	MD												20181108191326
196	M.D.												20181108191326
197	MD												20181108191326
200	MD												20181108191326
202	MD												20181108191326
204	PHARM. D												20181108191326
205	MD, PHD												20181108191326
206	MD												20181108191326
208	M.D.												20181108191326
209	M.D.												20181108191326
210	D.P.M.												20181108191326
211	ANP												20181108191326
212	NP												20181108191326
213	MD												20181108191326
215	RPH, PHARMD, FASCP												20181108191326
216	MD												20181108191326
217	MD												20181108191326
218	M.D.												20181108191326
219	M.D.												20181108191326
220	M.D.												20181108191326
221	PT, DPT												20181108191326
223	M.D.												20181108191326
224	MD												20181108191326
225	MD												20181108191326
226	D.O.												20181108191326
227	M.D.												20181108191326
229	D.C.												20181108191326
230	M.D.												20181108191326
231	MD												20181108191326
233	LCSW, CADC												20181108191326
234	MD												20181108191326
235	M.D.												20181108191326
236	APRN												20181108191326
237	N.P.												20181108191326
238	MD												20181108191326
239	M.D.												20181108191326
240	M.D.												20181108191326
241	MD												20181108191326
243	M.D.												20181108191326
244	M.D.,F.A.C.C.												20181108191326
245	M.D.												20181108191326
246	M.D.												20181108191326
247	MD												20181108191326
248	MD												20181108191326
249	M.D.												20181108191326
250	NP												20181108191326
251	MD												20181108191326
252	M.D.												20181108191326
253	M.D.												20181108191326
255	D.O.												20181108191326
256	M.D.												20181108191326
258	D.O.												20181108191326
259	D.C.												20181108191326
260	M.D.												20181108191326
261	MD												20181108191326
262	MD												20181108191326
264	MD												20181108191326
265	M.D.												20181108191326
266	M.D.												20181108191326
268	MD												20181108191326
269	DDS												20181108191326
270	D.D.S.												20181108191326
271	CRNA												20181108191326
272	MD												20181108191326
274	M.D.												20181108191326
276	M.D.												20181108191326
281	DO												20181108191326
282	CRNA												20181108191326
283	MD												20181108191326
285	M.D.												20181108191326
286	DDS												20181108191326
287	M.D.												20181108191326
289	M.D.												20181108191326
290	MD												20181108191326
291	M.D.												20181108191326
293	D.O.												20181108191326
294	M.D.												20181108191326
295	M.D.												20181108191326
297	MD												20181108191326
298	M.D.												20181108191326
299	DDS												20181108191326
300	DPM												20181108191326
302	DPM												20181108191326
303	M.D.												20181108191326
304	P.T. PHARM D.												20181108191326
305	M.D.												20181108191326
306	M.D.												20181108191326
307	MD												20181108191326
308	D.O.												20181108191326
310	MD												20181108191326
311	MD												20181108191326
312	DPM												20181108191326
313	MD												20181108191326
314	M.D.												20181108191326
315	PHARM.D.												20181108191326
317	M.D.												20181108191326
319	M.D.												20181108191326
320	M.D.												20181108191326
321	MD												20181108191326
322	MS, RD, CDE, LDN												20181108191326
323	OD												20181108191326
324	M.D.												20181108191326
325	MD												20181108191326
326	M.D.												20181108191326
327	MD												20181108191326
328	M.D.												20181108191326
329	APN-C												20181108191326
330	DPM												20181108191326
331	M.D.												20181108191326
333	R.PH.												20181108191326
334	CRNP												20181108191326
335	M.D.												20181108191326
336	M.D.												20181108191326
337	M.D.												20181108191326
338	MD												20181108191326
340	M.D.												20181108191326
