Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
11	HIGHLAND CARE CENTER												20181108191325
20	BIOSCRIP PHARMACY												20181108191325
28	OPEN IMAGING REDWOOD												20181108191325
38	CHI ANESTHESIOLOGY												20181108191325
50	ATI PHYSICAL THERAPY OF INDIANA												20181108191325
57	GOLDEN VIEW HEALTH CARE CENTER												20181108191325
61	PRESCRIPTION AIR												20181108191325
79	SOMERSET HOSPITAL												20181108191326
91	BURHOLME EMERGENCY MEDICAL SERVICE												20181108191326
99	HOSPICE OF COMMUNITY NURSING SERVICES OF NORTH EAST												20181108191326
102	HORIZON TWO LLC												20181108191326
106	ALLIANCE ORTHOPEDIC LABS, INC.												20181108191326
164	MI CASITA CARE CENTER												20181108191326
187	HORIZON ST. AUGUSTINE LLC												20181108191326
198	COCONUT GROVE FAMILY HEALTH CENTER												20181108191326
203	HORIZON WEST PALM BEACH LLC												20181108191326
228	HORIZON PLANTATION LLC												20181108191326
242	MEDICAL HOME CARE PROFESSIONALS INC												20181108191326
263	CALDWELL COUNTY HOSPITAL HOME HEALTH AGENCY												20181108191326
275	HEMOPHILIA OF GEORGIA												20181108191326
284	GLASGOW STATE NURSING FACILITY												20181108191326
288	THERAPY SOLUTIONS AND HEALTHCARE												20181108191326
296	DOUGLAS COUNTY PUBLIC HEALTH												20181108191326
339	BHI FAMILY CARE CENTER												20181108191326
345	ADAPTIVE HOME SAFETY & ACCESSIBILITY, INC.												20181108191326
346	THERON GRAINGER REHAB & CARE												20181108191326
349	HOSPICE OF NORTHEASTERN ILLINOIS, INC.												20181108191326
378	COLLINGSWOOD NURSING & REHABILITATION CENTER												20181108191326
385	MEADOW VIEW NURSING CENTER												20181108191326
411	HIDDEN VALLEY HEALTH CARE CENTER												20181108191326
419	LOPEZ ISLAND PHARMACY												20181108191326
422	HEGG MEMORIAL HEALTH CENTER												20181108191326
423	CANTERBURY VILLA												20181108191326
460	FIRST LAB												20181108191327
463	BAYLOR SCOTT & WHITE MEDICAL CENTER - PLANO												20181108191327
468	BIOSCRIP PHARMACY												20181108191327
492	ALDERSGATE VILLAGE												20181108191327
517	HOME TOWN HELAHT CARE												20181108191327
526	NYDIC OPEN MRI OF AMERICA-CLEVELAND												20181108191327
531	ST. JOHN'S HOME												20181108191327
534	AQUILAR FOOT CARE CLINIC												20181108191327
537	SOLEDAD ORTHOPEDIC PHYSICAL THERAPY												20181108191327
541	ADULT DAY SERVICES OF NAPA VALLEY												20181108191327
549	ESSENTIA HEALTH VIRGINIA-IRON RANGE REHABILITATION												20181108191327
578	ROSE M. LOWE REHABILITATION CENTER												20181108191327
586	SWEENY COMMUNITY HOSPITAL												20181108191327
587	CORDOVA DRUG COMPANY												20181108191327
589	ST. JOSEPH VILLAGE, INC.												20181108191327
613	COMBINED HOME MEDICAL EQUIPMENT												20181108191327
617	BURKES PHARMACY												20181108191327
652	NIX HEALTH CARE SYSTEM												20181108191327
654	LAPEL EMERGENCY AMBULANCE												20181108191327
668	QUINCO BEHAVIORAL HEALTH SYSTEMS												20181108191327
695	SEVERN HEALTHCARE												20181108191327
696	PIEDMONT NEWTON HOSPITAL HOME HEALTH												20181108191327
698	CHRISTIANA CARE VISITING NURSE ASSOCIATION												20181108191327
699	NYDIC OPEN MRI OF AMERICA-DALLAS												20181108191327
701	LABORATORIO CLINICO LUGO												20181108191327
704	KRYSTAL MEDICAL EQUIPMENT												20181108191327
722	HERITAGE OF ELMWOOD NURSING HOME												20181108191327
739	PHARMERICA												20181108191327
749	CAVALRY MEDICAL TRANSPORT												20181108191327
762	PHYSICAL THERAPY CENTRAL OF NORMAN												20181108191327
785	TWIN LAKES REHABILITATION & CARE CENTER												20181108191327
787	MARGARET TIETZ CENTER FOR NURSING CARE												20181108191327
796	1ST EYE CARE												20181108191327
813	INTERIM HEALTHCARE												20181108191328
826	DRUG RITE PHARMACY												20181108191328
832	DRS. EDELMAN & STEVENSON												20181108191328
837	VALLEY PHYSICAL THERAPY												20181108191328
843	GRAND PRAIRIE FIRE DEPARTMENT												20181108191328
844	ESSENTIA HEALTH SANDSTONE												20181108191328
846	SENIOR HEALTH SERVICES												20181108191328
852	SAINT CLARE'S HEALTH SYSTEM												20181108191328
857	LYNN'S ORTHOPEDIC												20181108191328
882	MINNESOTA RADIOLOGY												20181108191328
892	CHRISTUS ST JOSEPH HOSPITAL - REHAB												20181108191328
897	ADVANCED THERAPY SERVICES												20181108191328
930	DOWNEY COMMUNITY HEALTH CENTER												20181108191328
938	FROEDTERT HOSPITAL												20181108191328
