Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
3	STE 200												20181108191325
4	STE 722												20181108191325
6	SUITE 102												20181108191325
7	SUITE 102												20181108191325
10	STE 200												20181108191325
14	STE 4310												20181108191325
15	SUITE 200 EAST												20181108191325
21	STE. 202												20181108191325
27	SUITE A												20181108191325
28	STE 130												20181108191325
30	STE 104												20181108191325
34	STE 405												20181108191325
36	SUITE 102												20181108191325
37	STE 100												20181108191325
38	STE A401												20181108191325
39	STE 400												20181108191325
42	SUITE 201												20181108191325
44	STE 1												20181108191325
46	STE B200												20181108191325
49	SUITE 600												20181108191325
53	STE 100												20181108191325
56	SUITE 200												20181108191325
58	STE 260												20181108191325
61	STE 214												20181108191325
62	SUITE 105												20181108191325
66	AMELIA AUDIOLOGY												20181108191326
67	SUITE 102												20181108191326
68	STE 302												20181108191326
70	SUITE 300												20181108191326
73	STE 104												20181108191326
74	STE 2												20181108191326
75	STE 16												20181108191326
76	STE 400												20181108191326
78	SUITE 200												20181108191326
80	SUITE 104												20181108191326
83	SUITE 200												20181108191326
84	SUITE 300												20181108191326
87	SUITE 810												20181108191326
100	STE 104												20181108191326
102	STE 101												20181108191326
103	SUITE 400												20181108191326
104	STE 170												20181108191326
107	STE 170												20181108191326
108	UNIT 208												20181108191326
109	BLDG 501												20181108191326
113	SUITE B												20181108191326
115	STE 22												20181108191326
116	STE F												20181108191326
117	STE 302												20181108191326
119	# 175												20181108191326
120	STE 102												20181108191326
122	BOX 115												20181108191326
123	SUITE 210												20181108191326
124	STE 140												20181108191326
127	SUITE #38												20181108191326
128	STE 113												20181108191326
131	STE 200												20181108191326
133	STE 338												20181108191326
134	STE 8												20181108191326
136	STE E1												20181108191326
140	STE C												20181108191326
142	SUITE 102												20181108191326
143	STE A												20181108191326
145	STE 115												20181108191326
149	STE 200												20181108191326
153	STE 104												20181108191326
158	STE 170												20181108191326
160	SUITE 160												20181108191326
162	STE 102												20181108191326
165	STE I												20181108191326
168	STE 10												20181108191326
171	SUITE 1C												20181108191326
174	SUITE 101												20181108191326
178	STE 101-B												20181108191326
179	SUITE 400												20181108191326
185	STE A												20181108191326
187	STE 210												20181108191326
192	SUITE 200												20181108191326
193	STE G20												20181108191326
196	STE 593												20181108191326
197	STE 500												20181108191326
201	STE 418												20181108191326
202	STE 311												20181108191326
203	STE 101												20181108191326
208	STE 300												20181108191326
209	STE 805												20181108191326
210	STE 200												20181108191326
211	STE 311												20181108191326
213	IRELAND/SEIDMAN RADIATION ONCOLOGY												20181108191326
218	BLDG B												20181108191326
219	STE 407												20181108191326
220	STE 738												20181108191326
221	STE 102												20181108191326
225	STE 400												20181108191326
228	STE 110												20181108191326
229	PLAZA DEL OSO												20181108191326
230	STE 302												20181108191326
231	LAKESIDE HOSPITAL												20181108191326
236	SIX CORPORATE DRIVE, SUITE 420												20181108191326
237	HMT CARDIOLOGY												20181108191326
239	SUITE 114												20181108191326
240	SUITE 101												20181108191326
241	CARDIOLOGY												20181108191326
244	STE 102												20181108191326
245	STE 210												20181108191326
246	STE 200												20181108191326
247	SUITE 201												20181108191326
249	STE A												20181108191326
250	SUITE 114												20181108191326
252	MATTHEW 25 HEALTH AND DENTAL CLINIC												20181108191326
256	STE 512												20181108191326
257	STE 5												20181108191326
258	STE 132												20181108191326
259	STE 200												20181108191326
264	KAISER PERMANENTE BROOKWOOD MEDICAL CENTER												20181108191326
265	SUITE 200												20181108191326
267	STE 1C												20181108191326
268	SUITE 201												20181108191326
272	STE 206												20181108191326
273	STE 4100												20181108191326
275	STE 170												20181108191326
279	STE B329												20181108191326
281	UNIT #109												20181108191326
286	STE 1773												20181108191326
287	SUITE 103												20181108191326
290	STE 2000												20181108191326
292	STE 120												20181108191326
293	STE 170												20181108191326
294	SUITE 21												20181108191326
296	STE 1200												20181108191326
298	STE 106												20181108191326
301	209 N CALVARY AVE												20181108191326
302	STE 5												20181108191326
304	STE 700A												20181108191326
305	OUPB1300												20181108191326
307	STE 1101												20181108191326
313	SUITE 101												20181108191326
314	STE 400												20181108191326
317	STE 104												20181108191326
318	STE 4												20181108191326
320	STE 601												20181108191326
326	STE 400												20181108191326
330	STE 1												20181108191326
338	2000 COURTYARD												20181108191326
343	SUITE 200												20181108191326
347	SUITE 300												20181108191326
348	STE 200												20181108191326
350	PMG. HOSPITALIST.NEUROLOGY DEPT												20181108191326
352	SUITE 200												20181108191326
