Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
12	03/15/2006		2006	3	15	0	0	0	0				20181108191331
15	06/19/2007		2007	6	19	0	0	0	0				20181108191331
34	03/16/2006		2006	3	16	0	0	0	0				20181108191331
36	03/06/2012		2012	3	6	0	0	0	0				20181108191331
41	03/15/2006		2006	3	15	0	0	0	0				20181108191331
42	03/30/2006		2006	3	30	0	0	0	0				20181108191331
46	05/04/2016		2016	5	4	0	0	0	0				20181108191331
60	03/15/2006		2006	3	15	0	0	0	0				20181108191331
69	03/16/2006		2006	3	16	0	0	0	0				20181108191331
100	03/15/2006		2006	3	15	0	0	0	0				20181108191331
101	03/15/2006		2006	3	15	0	0	0	0				20181108191331
106	03/15/2006		2006	3	15	0	0	0	0				20181108191331
123	03/16/2006		2006	3	16	0	0	0	0				20181108191331
129	06/25/2008		2008	6	25	0	0	0	0				20181108191331
131	10/15/2013		2013	10	15	0	0	0	0				20181108191331
139	01/15/2009		2009	1	15	0	0	0	0				20181108191331
143	03/15/2006		2006	3	15	0	0	0	0				20181108191331
165	03/29/2006		2006	3	29	0	0	0	0				20181108191331
167	12/31/2008		2008	12	31	0	0	0	0				20181108191331
176	08/06/2008		2008	8	6	0	0	0	0				20181108191331
190	03/15/2006		2006	3	15	0	0	0	0				20181108191331
208	03/16/2006		2006	3	16	0	0	0	0				20181108191331
230	06/13/2016		2016	6	13	0	0	0	0				20181108191331
259	02/15/2011		2011	2	15	0	0	0	0				20181108191331
269	03/16/2006		2006	3	16	0	0	0	0				20181108191331
270	12/02/2014		2014	12	2	0	0	0	0				20181108191331
298	10/21/2014		2014	10	21	0	0	0	0				20181108191332
311	12/16/2010		2010	12	16	0	0	0	0				20181108191332
327	06/17/2014		2014	6	17	0	0	0	0				20181108191332
333	09/19/2013		2013	9	19	0	0	0	0				20181108191332
342	02/13/2017		2017	2	13	0	0	0	0				20181108191332
363	03/30/2006		2006	3	30	0	0	0	0				20181108191332
387	09/15/2011		2011	9	15	0	0	0	0				20181108191332
392	03/29/2006		2006	3	29	0	0	0	0				20181108191332
465	08/13/2010		2010	8	13	0	0	0	0				20181108191332
471	03/17/2006		2006	3	17	0	0	0	0				20181108191332
495	03/16/2006		2006	3	16	0	0	0	0				20181108191332
506	02/05/2009		2009	2	5	0	0	0	0				20181108191332
510	03/16/2006		2006	3	16	0	0	0	0				20181108191332
535	03/15/2006		2006	3	15	0	0	0	0				20181108191332
544	03/16/2006		2006	3	16	0	0	0	0				20181108191332
551	05/24/2018		2018	5	24	0	0	0	0				20181108191332
614	03/17/2006		2006	3	17	0	0	0	0				20181108191332
624	01/28/2011		2011	1	28	0	0	0	0				20181108191332
641	03/17/2006		2006	3	17	0	0	0	0				20181108191332
651	03/17/2006		2006	3	17	0	0	0	0				20181108191332
662	07/07/2016		2016	7	7	0	0	0	0				20181108191332
680	03/17/2006		2006	3	17	0	0	0	0				20181108191333
704	12/02/2016		2016	12	2	0	0	0	0				20181108191333
712	09/27/2018		2018	9	27	0	0	0	0				20181108191333
720	05/13/2010		2010	5	13	0	0	0	0				20181108191333
732	01/21/2009		2009	1	21	0	0	0	0				20181108191333
734	03/13/2017		2017	3	13	0	0	0	0				20181108191333
740	06/24/2009		2009	6	24	0	0	0	0				20181108191333
749	06/21/2018		2018	6	21	0	0	0	0				20181108191333
758	01/19/2017		2017	1	19	0	0	0	0				20181108191333
804	03/17/2006		2006	3	17	0	0	0	0				20181108191333
815	01/12/2017		2017	1	12	0	0	0	0				20181108191333
828	06/18/2014		2014	6	18	0	0	0	0				20181108191333
836	03/20/2006		2006	3	20	0	0	0	0				20181108191333
837	03/17/2006		2006	3	17	0	0	0	0				20181108191333
865	03/20/2006		2006	3	20	0	0	0	0				20181108191333
885	03/20/2006		2006	3	20	0	0	0	0				20181108191333
888	11/30/2011		2011	11	30	0	0	0	0				20181108191333
916	03/17/2006		2006	3	17	0	0	0	0				20181108191333
922	08/31/2012		2012	8	31	0	0	0	0				20181108191333
925	02/15/2016		2016	2	15	0	0	0	0				20181108191333
930	06/09/2005		2005	6	9	0	0	0	0				20181108191333
938	07/11/2012		2012	7	11	0	0	0	0				20181108191333
946	06/23/2015		2015	6	23	0	0	0	0				20181108191333
966	03/20/2006		2006	3	20	0	0	0	0				20181108191333
971	03/20/2006		2006	3	20	0	0	0	0				20181108191333
974	03/20/2006		2006	3	20	0	0	0	0				20181108191333
996	03/20/2006		2006	3	20	0	0	0	0				20181108191333
1017	07/01/2015		2015	7	1	0	0	0	0				20181108191333
1075	03/20/2006		2006	3	20	0	0	0	0				20181108191334
1080	06/08/2005		2005	6	8	0	0	0	0				20181108191334
1092	03/20/2006		2006	3	20	0	0	0	0				20181108191334
1113	05/10/2018		2018	5	10	0	0	0	0				20181108191334
1139	03/21/2006		2006	3	21	0	0	0	0				20181108191334
1144	03/21/2006		2006	3	21	0	0	0	0				20181108191334
