Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	JACKSONVILLE												20181108191331
2	NORMAN												20181108191331
3	PEKIN												20181108191331
4	HARTFORD												20181108191331
5	BIRMINGHAM												20181108191331
6	NAPLES												20181108191331
7	FORT WORTH												20181108191331
8	PONTE VEDRA												20181108191331
9	ADDISON												20181108191331
10	KINGSPORT												20181108191331
11	FORT WAYNE												20181108191331
12	WEST PALM BEACH												20181108191331
13	PASSAIC												20181108191331
14	HOLLYWOOD												20181108191331
16	BATON ROUGE												20181108191331
17	LAFAYETTE												20181108191331
18	NASHVILLE												20181108191331
19	LOUISVILLE												20181108191331
20	CHATTANOOGA												20181108191331
21	LAKELAND												20181108191331
22	PLEASANT HILL												20181108191331
23	GOODYEAR												20181108191331
24	MUNSTER												20181108191331
25	CHANDLER												20181108191331
26	LANCASTER												20181108191331
27	TUALATIN												20181108191331
28	INDIANAPOLIS												20181108191331
29	LAYTON												20181108191331
30	HOUSTON												20181108191331
31	PALM HARBOR												20181108191331
32	EL PASO												20181108191331
33	KANSAS CITY												20181108191331
34	COLORADO SPRINGS												20181108191331
35	HARTFORD												20181108191331
37	O FALLON												20181108191331
38	PHOENIX												20181108191331
39	KANSAS CITY												20181108191331
40	SOUDERTON												20181108191331
41	CHERRY HILL												20181108191331
42	PASADENA												20181108191331
43	WAILUKU												20181108191331
44	MEMPHIS												20181108191331
45	CHESTERFIELD												20181108191331
47	BELLEVUE												20181108191331
48	DAYTON												20181108191331
49	SPRINGFIELD												20181108191331
50	KNOXVILLE												20181108191331
51	ENGLEWOOD												20181108191331
52	HOUSTON												20181108191331
53	ATHENS												20181108191331
54	PITTSBURGH												20181108191331
55	ROCHESTER												20181108191331
56	AUSTIN												20181108191331
57	SHEFFIELD												20181108191331
58	HAWTHORNE												20181108191331
59	PALESTINE												20181108191331
60	WEST PALM BEACH												20181108191331
61	NASHVILLE												20181108191331
62	GOSHEN												20181108191331
63	MELBOURNE												20181108191331
64	EDINA												20181108191331
65	LOMPOC												20181108191331
66	ALBION												20181108191331
67	CONWAY												20181108191331
68	PORTSMOUTH												20181108191331
69	FAR ROCKAWAY												20181108191331
70	NASHVILLE												20181108191331
71	BOCA RATON												20181108191331
72	JACKSONVILLE												20181108191331
73	STATESBORO												20181108191331
74	DELAND												20181108191331
75	CANTON												20181108191331
76	ANN ARBOR												20181108191331
77	CENTER LINE												20181108191331
78	EMMETT												20181108191331
79	ROCKFORD												20181108191331
80	CAPE CORAL												20181108191331
81	NEWPORT BEACH												20181108191331
82	CLINTON												20181108191331
83	COLUMBUS												20181108191331
84	HAWTHORNE												20181108191331
85	PALMER												20181108191331
86	GERMANTOWN												20181108191331
87	SLINGERLANDS												20181108191331
88	INDIANAPOLIS												20181108191331
89	LUBBOCK												20181108191331
90	MEMPHIS												20181108191331
91	MESA												20181108191331
92	JOPLIN												20181108191331
93	GREENVILLE												20181108191331
94	PENNS GROVE												20181108191331
95	RIVERTON												20181108191331
96	ROCK HILL												20181108191331
97	HOLLYWOOD												20181108191331
98	FAYETTEVILLE												20181108191331
99	HERSHEY												20181108191331
100	CAMDEN												20181108191331
101	AVENTURA												20181108191331
102	PONCE												20181108191331
103	URBANA												20181108191331
104	HAGERSTOWN												20181108191331
105	KNOXVILLE												20181108191331
106	PORT ORANGE												20181108191331
107	SAINT LOUIS												20181108191331
108	GARDEN CITY												20181108191331
109	JACKSON												20181108191331
110	SALISBURY												20181108191331
111	SEATTLE												20181108191331
112	MEMPHIS												20181108191331
113	ROCKLIN												20181108191331
114	LOS GATOS												20181108191331
115	ENID												20181108191331
116	BRANFORD												20181108191331
117	EL SEGUNDO												20181108191331
118	ORANGE												20181108191331
119	DALLAS												20181108191331
120	BALTIMORE												20181108191331
121	WASHINGTON												20181108191331
122	WINSTON SALEM												20181108191331
123	HANOVER												20181108191331
124	ENID												20181108191331
125	MEMPHIS												20181108191331
126	VIRGINIA BEACH												20181108191331
127	GRAYSLAKE												20181108191331
128	FOUNTAIN VALLEY												20181108191331
130	FINDLAY												20181108191331
132	TROY												20181108191331
133	MASHPEE												20181108191331
134	NASHVILLE												20181108191331
135	BLOOMINGTON												20181108191331
136	INGLEWOOD												20181108191331
137	VERO BEACH												20181108191331
138	BOUND BROOK												20181108191331
140	WICHITA												20181108191331
141	GAINESVILLE												20181108191331
142	MEMPHIS												20181108191331
143	HUDSON												20181108191331
144	HOLLYWOOD												20181108191331
145	BOWLING GREEN												20181108191331
146	LANCASTER												20181108191331
147	COLUMBIA												20181108191331
148	SALISBURY												20181108191331
149	CHATTANOOGA												20181108191331
150	INDIANAPOLIS												20181108191331
151	GEORGETOWN												20181108191331
152	SENECA												20181108191331
153	DAYTONA BEACH												20181108191331
154	BOYNTON BEACH												20181108191331
155	MADISON												20181108191331
156	ALTOONA												20181108191331
157	MUNSTER												20181108191331
158	DURANGO												20181108191331
159	NASHVILLE												20181108191331
160	BOWLING GREEN												20181108191331
161	HOLLYWOOD												20181108191331
162	ROCHESTER												20181108191331
163	MOSES LAKE												20181108191331
164	TUCSON												20181108191331
165	AURORA												20181108191331
166	PARIS												20181108191331
168	BLACKWELL												20181108191331
169	CHICAGO												20181108191331
170	ALLENTOWN												20181108191331
171	BALTIMORE												20181108191331
172	ROCHESTER												20181108191331
173	KINGWOOD												20181108191331
174	CENTRALIA												20181108191331
175	MAYAGUEZ												20181108191331
177	OREGON												20181108191331
178	MIAMI												20181108191331
179	FORT WAYNE												20181108191331
180	NATRONA HEIGHTS												20181108191331
