Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	1824 KING STREET												20181108191331
2	PO BOX 1330												20181108191331
3	1894 GEORGETOWN RD												20181108191331
4	1000 ASYLUM AVE												20181108191331
5	2700 10TH AVE S												20181108191331
6	1660 MEDICAL BLVD												20181108191331
7	PO BOX 2457												20181108191331
8	105 SOLANA RD												20181108191331
9	15401 ADDISON RD												20181108191331
10	1728 N EASTMAN RD												20181108191331
11	PO BOX 2526												20181108191331
12	1500 N DIXIE HWY												20181108191331
13	PO BOX 343												20181108191331
14	9050 PINES BLVD												20181108191331
16	PO BOX 83130												20181108191331
17	1120 W SOUTH BOULDER RD												20181108191331
18	PO BOX 440222												20181108191331
19	PO BOX 950293												20181108191331
20	6015 SHALLOWFORD ROAD												20181108191331
21	PO BOX 95004												20181108191331
22	5148 E UNIVERSITY AVE												20181108191331
23	14200 W FILLMORE ST												20181108191331
24	9339 CALUMET AVE												20181108191331
25	3725 E DERRINGER WAY												20181108191331
26	PO BOX 4216												20181108191331
27	19260 SW 65TH AVE												20181108191331
28	1815 N CAPITOL AVE												20181108191331
29	6243 S. REDWOOD RD.												20181108191331
30	9800 CENTRE PKWY												20181108191331
31	32615 US HIGHWAY 19 N												20181108191331
32	5001 N PIEDRAS ST												20181108191331
33	901 E 104TH ST												20181108191331
34	1106 N CASCADE AVE												20181108191331
35	1000 ASYLUM AVE												20181108191331
37	12639 OLD TESSON RD												20181108191331
38	1144 E MCDOWELL RD												20181108191331
39	17501 E 40 HWY												20181108191331
40	PO BOX 1111												20181108191331
41	1942 ROUTE 70 E												20181108191331
42	6733 FAIRMONT PKWY												20181108191331
43	121 MAHALANI ST												20181108191331
44	262 DANNY THOMAS PLACE., MS 0515												20181108191331
45	226 S WOODS MILL RD												20181108191331
47	1031 PIERCE ST												20181108191331
48	1 CHILDRENS PLZ												20181108191331
49	453 SUMNER AVE												20181108191331
50	2240 SUTHERLAND AVE, STE 107												20181108191331
51	PO BOX 552142												20181108191331
52	P O BOX 4439												20181108191331
53	2131 E STATE ST												20181108191331
54	11279 PERRY HWY												20181108191331
55	1065 SENATOR KEATING BLVD.												20181108191331
56	4310 JAMES CASEY ST												20181108191331
57	2724 N JACKSON HWY												20181108191331
58	19 BRADHURST AVE STE 3100N												20181108191331
59	PO BOX 846098												20181108191331
60	1500 N DIXIE HWY												20181108191331
61	830 MAXWELL CT												20181108191331
62	2240 KARISA DR												20181108191331
63	1930 ADMIRALTY BLVD												20181108191331
64	3955 PARKLAWN AVE												20181108191331
65	PO BOX 2700												20181108191331
66	225 S SUPERIOR ST												20181108191331
67	1515 9TH AVE												20181108191331
68	230 LAFAYETTE RD												20181108191331
69	338 BEACH 54TH ST												20181108191331
70	300 20TH AVE N STE 403												20181108191331
71	951 NW 13TH ST												20181108191331
72	1824 KING STREET												20181108191331
73	658 NORTHSIDE DR E												20181108191331
74	752 W PLYMOUTH AVE												20181108191331
75	7949 N CANTON CENTER RD												20181108191331
76	1500 E MEDICAL CENTER DR												20181108191331
77	26834 LAWRENCE												20181108191331
78	1102 E LOCUST ST												20181108191331
79	1235 N MULFORD RD												20181108191331
80	507 DEL PRADO BLVD S												20181108191331
81	22 CORPORATE PLAZA #150												20181108191331
82	915 13TH AVE N												20181108191331
83	3713 S HIGH ST												20181108191331
84	PO BOX 5801												20181108191331
85	280 CHESTNUT ST												20181108191331
86	P.O. BOX 405827												20181108191331
87	1499 NEW SCOTLAND RD												20181108191331
88	1815 N CAPITOL AVE												20181108191331
89	4320 W 19TH ST												20181108191331
90	80 S PRESCOTT ST												20181108191331
91	10238 E HAMPTON AVE STE 501												20181108191331
92	1905 W 32ND ST												20181108191331
93	1850 W ARLINGTON BLVD												20181108191331
94	75 W MAIN ST												20181108191331
95	1005 COLLEGE VIEW DR												20181108191331
96	744 ARDEN LN												20181108191331
97	9050 PINES BLVD												20181108191331
98	150 ROBESON ST												20181108191331
99	33 E AREBA AVE												20181108191331
100	PO BOX 699												20181108191331
101	21150 BISCAYNE BLVD												20181108191331
102	1432 AVE MUNOZ RIVERA												20181108191331
103	900 SCIOTO ST												20181108191331
104	13 WESTERN MARYLAND PKWY												20181108191331
105	5401 KINGSTON PIKE												20181108191331
106	840 DUNLAWTON AVE												20181108191331
107	11125 DUNN RD												20181108191331
108	601 FRANKLIN AVE												20181108191331
109	402 WHITE ST												20181108191331
110	614 EASTERN SHORE DR STE C												20181108191331
111	PO BOX 50095												20181108191331
112	1737 BELLEVUE GROVE CV												20181108191331
113	5440 PARK DR												20181108191331
114	PO BOX 215												20181108191331
115	PO BOX 844737												20181108191331
116	5 S MAIN ST												20181108191331
117	131 W GRAND AVE												20181108191331
118	1120 W LA VETA AVE												20181108191331
119	6510 LBJ FWY												20181108191331
120	404 OLD CROSSING DR												20181108191331
121	3113 BIRCH ST NW												20181108191331
122	8105 SLANE CT												20181108191331
123	116 S GEORGE ST STE 301												20181108191331
124	PO BOX 844737												20181108191331
125	5575 POPLAR AVE												20181108191331
126	1288 SMITH COVE CIR												20181108191331
127	310 BARRON BLVD												20181108191331
128	9092 TALBERT AVE												20181108191331
130	1725 WESTERN AVE												20181108191331
132	3006 N COUNTY ROAD 25A												20181108191331
133	319 CAIRN RIDGE RD												20181108191331
134	PO BOX 440222												20181108191331
135	108 W MARKET ST												20181108191331
136	323 N PRAIRIE AVE												20181108191331
137	1300 36TH STREET												20181108191331
138	1952 ROUTE 22 E												20181108191331
140	3333 N WEBB RD												20181108191331
141	1240 JESSE JEWELL PKWY SE												20181108191331
142	262 DANNY THOMAS PL												20181108191331
143	322 FAIRVIEW AVE												20181108191331
144	9050 PINES BLVD												20181108191331
145	165 NATCHEZ TRACE												20181108191331
146	4705 ARROWHEAD DR												20181108191331
147	10710 CHARTER DR												20181108191331
148	614 EASTERN SHORE DR STE C												20181108191331
149	1000 EAST THIRD STREET												20181108191331
150	8103 CLEARVISTA PKWY												20181108191331
151	PO BOX 529												20181108191331
152	PO BOX 249												20181108191331
153	1890 LPGA BLVD												20181108191331
154	240 N WASHINGTON BLVD												20181108191331
155	411 DURHAM RD												20181108191331
156	1200 N 10TH ST W												20181108191331
157	759 45TH AVE												20181108191331
158	PO BOX 3279												20181108191331
159	501 GREAT CIRCLE RD												20181108191331
160	201 PARK ST												20181108191331
161	9050 PINES BLVD												20181108191331
162	601 ELMWOOD AVE												20181108191331
163	1022 W IVY AVE												20181108191331
164	6080 N LA CHOLLA BLVD # 200												20181108191331
165	PO BOX 4125												20181108191331
166	1500 CLARKSVILLE ST												20181108191331
168	PO BOX 350												20181108191331
169	5841 SOUTH MARYLAND AVE												20181108191331
170	1501 N CEDAR CREST BLVD												20181108191331
171	1212 HART RD												20181108191331
172	601 ELMWOOD AVE												20181108191331
173	19701 KINGWOOD DR BLDG 5												20181108191331
174	1195 CORPORATE LAKE DR												20181108191331
175	PMB 26 PO BOX 70344												20181108191331
177	3829 WOODLEY RD												20181108191331
178	7001 SW 87TH AVE												20181108191331
179	2622 LAKE AVE												20181108191331
180	11279 PERRY HWY												20181108191331
181	136 NICHOLS RD												20181108191331
182	911 SW COURT AVE												20181108191331
183	3085 LOMA VISTA RD												20181108191331
184	11279 PERRY HWY												20181108191331
185	PO BOX 6005												20181108191331
186	205 GRANDVIEW AVE												20181108191331
187	424 HAHLO ST												20181108191331
188	850 N HARRISON ST												20181108191331
189	409 S 2ND ST												20181108191331
190	PO BOX 17825												20181108191331
191	PO BOX 100488												20181108191331
192	1761 WELLS AVE												20181108191331
193	2225 ROUTE 9												20181108191331
194	10050 CROSSTOWN CIR												20181108191331
195	P.O. BOX 4356, DEPT 664												20181108191331
196	470 SENTRY PKWY E												20181108191331
197	601 ELMWOOD AVE												20181108191331
198	217 HARRISBURG AVE												20181108191331
199	222 22ND AVE N												20181108191331
200	AVE PONCE DE LEON												20181108191331
201	3909 WOODLEY RD												20181108191331
202	10010 KENNERLY RD												20181108191331
203	PO BOX 343												20181108191331
204	743 SPRING ST NE												20181108191331
205	5114 MALLARD DRIVE												20181108191331
206	9050 PINES BLVD												20181108191331
207	PO BOX 2497												20181108191331
208	PO BOX 5894												20181108191331
209	6905 BURLINGTON PIKE												20181108191331
210	1 TAMPA GENERAL CIR												20181108191331
211	PO BOX 1520												20181108191331
212	2049 DORCHESTER AVE												20181108191331
213	1824 KING ST												20181108191331
214	12959 PALMS WEST DR												20181108191331
215	6561 E CARONDELET DR												20181108191331
216	4901 LANG AVE NE												20181108191331
217	PO BOX 312												20181108191331
218	410 LAKEVILLE RD												20181108191331
219	4060 BUTLER PIKE												20181108191331
220	1801 LEE RD STE 165												20181108191331
221	9050 PINES BLVD												20181108191331
222	901 S. SWEETWATER STREET												20181108191331
223	2400 HARTMAN LN												20181108191331
224	PO BOX 1289												20181108191331
225	14540 PRAIRIE LAKES BLVD N												20181108191331
226	1600 E GUDE DR												20181108191331
227	3855 PENN AVE												20181108191331
228	222 22ND AVE N												20181108191331
229	294 SUMMAR DR												20181108191331
230	3620 N 55TH AVE												20181108191331
231	PO BOX 635283												20181108191331
232	1911 US HWY 301 NORTH												20181108191331
233	23 TELFORD AVE												20181108191331
234	3244 BAILEY ST NW												20181108191331
235	2000 N ORANGE AVE												20181108191331
236	262 DANNY THOMAS PL												20181108191331
237	6626 E 75TH ST												20181108191331
238	262 DANNY THOMAS PL # MS 515												20181108191331
239	PO BOX 40908												20181108191331
240	7001 SW 87TH AVE												20181108191331
241	127 CRESTVIEW PARK DR												20181108191331
242	PO BOX 7479												20181108191331
243	240 N WASHINGTON BLVD												20181108191331
244	5000 AMBASSADOR CAFFERY PKWY												20181108191331
245	PO BOX 440222												20181108191331
246	1 GUSTAVE L LEVY PL												20181108191331
247	PO BOX 1769												20181108191331
248	300 LINWOOD AVE												20181108191331
249	3250 E 19TH ST												20181108191331
250	1760 E FLORENCE BLVD												20181108191331
251	3024 BUSINESS PARK CIR												20181108191331
252	19 FARRINGTON CORNER RD												20181108191331
253	5241 LAMPSON AVE												20181108191331
254	240 N WASHINGTON BLVD												20181108191331
255	1480 JACKSON PIKE												20181108191331
256	1850 W ARLINGTON BLVD												20181108191331
257	506B N WASHINGTON AVE												20181108191331
258	4055 E OLYMPIC BLVD												20181108191331
260	134 WOOTON ST												20181108191331
261	PO BOX 2968												20181108191331
262	3121 S MARYLAND PKWY												20181108191331
263	1153 E MAIN ST												20181108191331
264	82 TALBOT WAY												20181108191331
265	5232 NW 53RD CIR												20181108191331
266	135 W RAVINE RD STE 3-A												20181108191331
267	PO BOX 743070												20181108191331
268	135 S HAVEN CT												20181108191331
269	PO BOX 635221												20181108191331
271	4101 MEDICAL CENTER DR												20181108191331
272	4081 E OLYMPIC BLVD												20181108191331
273	PO BOX 749												20181108191331
274	9 MOUNT BETHEL PLZ												20181108191331
275	PO BOX 2777												20181108191331
276	125 S LAKESHORE DR												20181108191331
277	335 GLESSNER AVE												20181108191331
278	9025 WILSHIRE BLVD 405												20181108191331
279	265 N BROADWAY ST												20181108191331
280	1016 W PIERCE ST												20181108191331
281	24855 NOVI RD												20181108191331
282	3777 COON RAPIDS BLVD NW												20181108191331
283	505 N 14TH ST												20181108191331
284	2801 S UNIVERSITY AVE												20181108191331
285	111 VICTORIA RD												20181108191331
286	157 FRONT ST												20181108191331
287	101 W KOENIG LN												20181108191331
288	PO BOX 3605												20181108191331
289	PO BOX 700												20181108191332
290	10150 HIGHLAND MANOR DR STE 240												20181108191332
291	3730 N RIDGE RD												20181108191332
292	5133 MEADOWSIDE LANE												20181108191332
293	2135 E UNIVERSITY DR												20181108191332
294	710 N NILES AVE												20181108191332
295	6675 HOLMES RD												20181108191332
296	PO BOX 3185												20181108191332
297	ERPG EMERGENCY SERVICES												20181108191332
299	258 LOWE RD												20181108191332
300	10715 TIERRASANTA BLVD												20181108191332
301	209 E. CANTON												20181108191332
302	15950 SW MILLIKAN WAY												20181108191332
303	1501 NE MEDICAL CENTER DR												20181108191332
304	3264 N EVERGREEN DR NE												20181108191332
305	499 VININGS ESTATES DR SE												20181108191332
306	1700 CERRILLOS RD												20181108191332
307	PO BOX 15275												20181108191332
308	2000 REGENCY CT												20181108191332
309	202 W. 3RD ST.												20181108191332
310	304 SAUNDERS ST												20181108191332
312	9 JACOB ARNOLD RD												20181108191332
313	2060 READING RD												20181108191332
314	240 N WASHINGTON BLVD												20181108191332
315	DEPT 6055												20181108191332
316	12225 28TH ST N												20181108191332
317	5 MEDICAL PARK PLACE												20181108191332
