Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	1824 KING STREET												20181108191331
2	3400 W TECUMSEH RD												20181108191331
3	1300 PARK AVE												20181108191331
4	114 WOODLAND ST												20181108191331
5	2700 10TH AVE S												20181108191331
6	1660 MEDICAL BLVD												20181108191331
7	1401 HENDERSON ST												20181108191331
8	105 SOLANA RD												20181108191331
9	15401 ADDISON RD												20181108191331
10	1728 N EASTMAN RD												20181108191331
11	7601 W JEFFERSON BLVD												20181108191331
12	1500 N DIXIE HWY												20181108191331
13	350 BOULEVARD												20181108191331
14	3501 JOHNSON ST												20181108191331
16	5131 ODONOVAN DR FL 1												20181108191331
17	1120 W SOUTH BOULDER RD												20181108191331
18	2201 MURPHY AVE												20181108191331
19	6425 BARDSTOWN RD												20181108191331
20	6015 SHALLOWFORD ROAD												20181108191331
21	2300 E. COUNTY ROAD 540A												20181108191331
22	5148 E UNIVERSITY AVE												20181108191331
23	14200 W FILLMORE ST												20181108191331
24	9339 CALUMET AVE												20181108191331
25	1455 W CHANDLER BLVD												20181108191331
26	555 N DUKE ST												20181108191331
27	19260 SW 65TH AVE												20181108191331
28	1815 N CAPITOL AVE												20181108191331
29	2071 N MAIN ST												20181108191331
30	9800 CENTRE PKWY												20181108191331
31	32615 US HIGHWAY 19 N												20181108191331
32	5001 N PIEDRAS ST												20181108191331
33	5400 N OAK TRFY												20181108191331
34	224 E WILLAMETTE AVE												20181108191331
35	1000 ASYLUM AVE												20181108191331
37	9323 PHOENIX VILLAGE PKWY												20181108191331
38	1144 E MCDOWELL RD												20181108191331
39	5330 N OAK TRFY												20181108191331
40	3456 BETHLEHEM PIKE												20181108191331
41	1942 ROUTE 70 E												20181108191331
42	6733 FAIRMONT PKWY												20181108191331
43	121 MAHALANI ST												20181108191331
44	262 DANNY THOMAS PLACE., MS 0515												20181108191331
45	226 S WOODS MILL RD												20181108191331
47	290 PROGRESS DR												20181108191331
