Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	WILLIAM												20181108191331
2	ALLISON												20181108191331
4	RICHARD												20181108191331
6	FRANCISCO												20181108191331
7	ROSE ANN												20181108191331
8	ERIC												20181108191331
10	RANDALL												20181108191331
11	STEVEN												20181108191331
12	RICHARD												20181108191331
13	NENA												20181108191331
14	TREVOR												20181108191331
16	MICHAEL												20181108191331
18	LISA												20181108191331
19	RHONDA												20181108191331
20	JOHN												20181108191331
21	MELISSA												20181108191331
23	MICHAEL												20181108191331
25	JAMES												20181108191331
26	CINDY												20181108191331
27	EDWARD												20181108191331
28	NOEL												20181108191331
30	TERESA												20181108191331
31	MITCHELL												20181108191331
32	GARY												20181108191331
33	MARK												20181108191331
34	WILLIAM												20181108191331
35	THOMAS												20181108191331
37	JOHN												20181108191331
38	ROBERT												20181108191331
39	DONALD												20181108191331
40	JENNIFER												20181108191331
41	LYLE												20181108191331
42	CHESS												20181108191331
43	RICK												20181108191331
44	DORALINA												20181108191331
45	HANNAH-NGOC												20181108191331
47	DAVID												20181108191331
49	TRACY												20181108191331
50	GARNETTA												20181108191331
52	NAJAT												20181108191331
53	CATHERINE												20181108191331
54	SHEELA												20181108191331
56	JASON												20181108191331
58	MARTIN												20181108191331
59	WAYNE												20181108191331
60	DANIEL												20181108191331
61	GARY												20181108191331
62	DICKY												20181108191331
63	FRANK												20181108191331
65	GILBERT												20181108191331
66	JUDY												20181108191331
67	JEFFREY												20181108191331
68	THOMAS												20181108191331
69	HOWARD												20181108191331
70	ANDREW												20181108191331
71	JAMES												20181108191331
72	JAMES												20181108191331
73	HENRY												20181108191331
74	PAUL												20181108191331
75	KEITH												20181108191331
76	TAMI												20181108191331
79	SUSAN												20181108191331
80	RONALD												20181108191331
82	JAMES												20181108191331
84	ARUN												20181108191331
85	JONATHAN												20181108191331
86	BENJAMIN												20181108191331
87	KRISTIN												20181108191331
88	GARRICK												20181108191331
91	MICHAEL												20181108191331
92	TERRY												20181108191331
93	JEFFREY												20181108191331
94	ALVIN												20181108191331
95	MARTHA												20181108191331
96	JAMES												20181108191331
97	MARIA												20181108191331
99	KELLY												20181108191331
100	SUMPTER												20181108191331
101	MARVIN												20181108191331
103	JOSEPH												20181108191331
104	LYNNE												20181108191331
105	HOWARD												20181108191331
106	ASHRAF												20181108191331
107	MORIN												20181108191331
110	GUNNAR												20181108191331
111	DIVIS												20181108191331
112	KATHY												20181108191331
113	BENJAMIN												20181108191331
114	MARGARET												20181108191331
115	RICHARD												20181108191331
116	ROBERT												20181108191331
117	SANDRA												20181108191331
118	GREGORY												20181108191331
119	SANJAY												20181108191331
120	MICHAEL												20181108191331
121	RICHARD												20181108191331
122	GARY												20181108191331
123	RAYMOND												20181108191331
124	KRISTA												20181108191331
125	ALAN												20181108191331
126	ROBERT												20181108191331
127	DAVID												20181108191331
128	GREGORY												20181108191331
130	THOMAS												20181108191331
132	WILLIAM												20181108191331
133	KENNETH												20181108191331
134	LEWIS												20181108191331
136	STELLA												20181108191331
137	LEON												20181108191331
138	JAMES												20181108191331
141	RICHARD												20181108191331
142	WAYNE												20181108191331
143	GARY												20181108191331
144	LIONEL												20181108191331
145	LYNN												20181108191331
146	BRIAN												20181108191331
147	KIRAN												20181108191331
148	MANDIP												20181108191331
149	JAMES												20181108191331
150	SCOTT												20181108191331
152	WILLIAM												20181108191331
155	ANDREA												20181108191331
156	ROBERT												20181108191331
157	BINH												20181108191331
158	WAYNE												20181108191331
159	JOHN												20181108191331
160	KEITH												20181108191331
161	HERBERT												20181108191331
162	MARC												20181108191331
163	BRIAN												20181108191331
164	ELIZABETH												20181108191331
165	SHWETA												20181108191331
169	JOHN												20181108191331
170	JOHN												20181108191331
171	KEVIN												20181108191331
172	MARGARET												20181108191331
173	JULIE												20181108191331
175	JOSE												20181108191331
177	AFSER												20181108191331
178	HARVEY												20181108191331
179	CHUNG												20181108191331
180	DANIEL												20181108191331
181	SUJATHA												20181108191331
183	ADAM												20181108191331
184	ARTHUR												20181108191331
185	CHARLES												20181108191331
186	DAVID												20181108191331
187	DONALD												20181108191331
188	KEVIN												20181108191331
189	KENNETH												20181108191331
190	CHARLOTTE												20181108191331
191	HUMAIRA												20181108191331
192	WILLARD												20181108191331
193	ANTHONY												20181108191331
196	ROBERT												20181108191331
197	DENISE												20181108191331
198	DAVID												20181108191331
199	ROBERT												20181108191331
200	JUAN												20181108191331
201	PETER												20181108191331
203	ROSALIA												20181108191331
204	J.												20181108191331
205	ANIL												20181108191331
206	ANASTAS												20181108191331
208	MEHDI												20181108191331
209	SANJAY												20181108191331
210	MARK												20181108191331
211	MIKAL												20181108191331
213	VASCO												20181108191331
214	EDWIN												20181108191331
215	CAMERON												20181108191331
216	RICHARD												20181108191331
218	TERESA												20181108191331
219	T												20181108191331
220	BENY												20181108191331
221	MARK												20181108191331
224	VICTOR												20181108191331
225	TRACY												20181108191331
226	DAVID												20181108191331
227	PETER												20181108191331
228	THOMAS												20181108191331
229	GREGG												20181108191331
230	MICHAEL												20181108191331
231	DARRYL												20181108191331
233	PATRICK												20181108191331
236	SUE												20181108191331
237	JAMES												20181108191331
238	ROBERT												20181108191331
239	REVATI												20181108191331
240	JUDITH												20181108191331
241	DOLORES												20181108191331
242	YAO												20181108191331
244	DAVID												20181108191331
245	BRYAN												20181108191331
246	WALEED												20181108191331
247	DANIELLE												20181108191331
248	JENNIFER												20181108191331
251	JOHN												20181108191331
252	SARA												20181108191331
253	RYAN												20181108191331
256	ROBERT												20181108191331
258	RANDALL												20181108191331
260	SHERI												20181108191331
261	WILLIAM												20181108191331
262	SAMUEL												20181108191331
263	TARUN												20181108191331
264	MARC												20181108191331
265	ALISA												20181108191331
266	MANOJ												20181108191331
267	PAUL												20181108191331
268	WILLIAM												20181108191331
269	SABA												20181108191331
271	DAVID												20181108191331
273	ALBERT												20181108191331
274	STEPHEN												20181108191331
276	STEVEN												20181108191331
278	BABAK												20181108191331
279	ANGELA												20181108191331
280	DERIK												20181108191331
281	ALLEN												20181108191331
282	JAMES												20181108191331
283	BLAKE												20181108191331
284	LAURA												20181108191331
285	CHRISTOPHER												20181108191331
286	RONALD												20181108191331
287	JULIAN												20181108191331
288	JEY-DEA												20181108191331
289	DAVID												20181108191332
290	JAMES												20181108191332
291	PRAFUL												20181108191332
292	DEBORAH												20181108191332
293	MACARIO												20181108191332
294	KAREN												20181108191332
295	FREDERICK												20181108191332
297	GEORGE												20181108191332
299	MAXINE												20181108191332
302	REEWEN												20181108191332
303	WILLAIM												20181108191332
304	JAY												20181108191332
305	WILLIAM												20181108191332
306	LORI												20181108191332
308	JONATHAN												20181108191332
310	THOMAS												20181108191332
312	JAY												20181108191332
313	XAVIER												20181108191332
315	DARYL												20181108191332
316	ADAM												20181108191332
318	MARTINA												20181108191332
319	DORIS												20181108191332
320	PETER												20181108191332
322	EVONNE												20181108191332
323	RICHARD												20181108191332
325	JOHN												20181108191332
326	JOHN												20181108191332
327	THOMAS												20181108191332
328	JB												20181108191332
329	KENNETH												20181108191332
330	RASHMI												20181108191332
331	DENNIS												20181108191332
334	CHAD												20181108191332
336	NIRMALA												20181108191332
338	ROBERT												20181108191332
339	CYNTHIA												20181108191332
340	EVE												20181108191332
341	DEBRA												20181108191332
344	PATRICIA												20181108191332
345	WILLIAM												20181108191332
346	BENJAMIN												20181108191332
348	MELISSA												20181108191332
351	MARIANNE												20181108191332
352	PHILIP												20181108191332
353	MARISA												20181108191332
354	JOHN												20181108191332
355	JOHN												20181108191332
356	DAVID												20181108191332
357	DAVID												20181108191332
359	JOHN												20181108191332
360	MARIA												20181108191332
361	ALY												20181108191332
363	THOMAS												20181108191332
364	TODD												20181108191332
365	KELLY												20181108191332
366	JOHN												20181108191332
367	FARIBA												20181108191332
368	ROBERT												20181108191332
369	DAVID												20181108191332
370	THOMAS												20181108191332
371	DEIRDRE												20181108191332
372	MARTIN												20181108191332
373	JIM												20181108191332
374	ELAINE												20181108191332
375	LEONARD												20181108191332
377	MIICHAEL												20181108191332
378	MARK												20181108191332
379	CYNTHIA												20181108191332
380	LARRY												20181108191332
381	WILLIAM												20181108191332
382	JANE												20181108191332
383	CARROLL												20181108191332
384	RUSSELL												20181108191332
385	MICHAEL												20181108191332
386	NIANJUN												20181108191332
388	JAY												20181108191332
389	SUSAN												20181108191332
390	DANIEL												20181108191332
391	RANDALL												20181108191332
392	THOMAS												20181108191332
393	KATHLEEN												20181108191332
394	YU												20181108191332
395	RAPHAEL												20181108191332
396	JOHN												20181108191332
397	DEBORAH												20181108191332
398	GREGORY												20181108191332
399	BRENNA												20181108191332
400	BRANDEN												20181108191332
401	RICHARD												20181108191332
402	ALEXANDER												20181108191332
403	TRICIA												20181108191332
404	ELDRED												20181108191332
405	VICTOR												20181108191332
406	PHILIP												20181108191332
409	MICHAEL												20181108191332
410	PRESTON												20181108191332
411	BRUCE												20181108191332
412	RAFAEL												20181108191332
413	RICHARD												20181108191332
414	WILLIAM												20181108191332
415	PRAVIN												20181108191332
416	MARK												20181108191332
417	CHRISTOPHER												20181108191332
418	DONALD												20181108191332
420	JOHN												20181108191332
421	GERALD												20181108191332
422	CHRISTEN												20181108191332
423	LAURA												20181108191332
426	SAMUEL												20181108191332
427	MARTIN												20181108191332
428	ELIZABETH												20181108191332
429	MARK												20181108191332
430	JOAN												20181108191332
431	RICHARD												20181108191332
432	WAYNE												20181108191332
433	JAMIE												20181108191332
434	JEROME												20181108191332
435	FRANCESCO												20181108191332
436	ROBERT												20181108191332
437	DWAYNE												20181108191332
439	ROBERT												20181108191332
440	VINCENT												20181108191332
441	TAMMY												20181108191332
442	DONELLA												20181108191332
443	MARGARET												20181108191332
444	WAYLAND												20181108191332
445	BENJAMIN												20181108191332
446	KENNETH												20181108191332
447	NICK												20181108191332
448	GABRIELA												20181108191332
449	JOEL												20181108191332
450	RIAZ												20181108191332
451	NED												20181108191332
453	JUDITH												20181108191332
454	BICH-THUY												20181108191332
456	GEORGE												20181108191332
457	STEPHEN												20181108191332
460	DIANE												20181108191332
461	FREDERICK												20181108191332
463	CHARLES												20181108191332
466	MARK												20181108191332
467	JAMES												20181108191332
468	KENT												20181108191332
469	WILLIAM												20181108191332
470	BARRY												20181108191332
471	SAYED												20181108191332
472	LISA												20181108191332
473	JOHN												20181108191332
474	PATRICIA												20181108191332
475	MICHAEL												20181108191332
476	NIHAD												20181108191332
477	ROBERT												20181108191332
478	DOMINICK												20181108191332
479	SCOTT												20181108191332
482	XIMENA												20181108191332
483	JONATHAN												20181108191332
484	ALFREDO												20181108191332
485	BRUNO												20181108191332
487	MARTIN												20181108191332
488	J												20181108191332
490	MARILYN												20181108191332
492	VICTOR												20181108191332
493	MELANIE												20181108191332
494	CARY												20181108191332
496	HOWARD												20181108191332
497	MARY												20181108191332
498	JOHN												20181108191332
499	WILLIAM												20181108191332
500	CHARLES												20181108191332
501	LAN-HUONG												20181108191332
502	NEIL												20181108191332
504	YONG												20181108191332
505	KI-HON												20181108191332
507	WESTLEY												20181108191332
508	ROGER												20181108191332
509	DON												20181108191332
510	SHAD												20181108191332
511	LAURA												20181108191332
512	ROGER												20181108191332
513	ELIZABETH												20181108191332
514	CAROLINE												20181108191332
515	QUENTIN												20181108191332
516	ADAM												20181108191332
517	JULIA												20181108191332
518	BRIAN												20181108191332
519	PETER												20181108191332
520	BARRY												20181108191332
521	WALTER												20181108191332
522	JOEL												20181108191332
523	RICHARD												20181108191332
524	PEARL												20181108191332
525	MARK												20181108191332
528	SARAH												20181108191332
529	TRAVIS												20181108191332
531	SCOTT												20181108191332
532	LAURA												20181108191332
533	DAVID												20181108191332
534	CHARLES												20181108191332
536	NANETTE												20181108191332
537	ERIC												20181108191332
539	DAVID												20181108191332
542	RAMALINGAREDDY												20181108191332
543	SUSAN												20181108191332
544	RAYMOND												20181108191332
545	ROBERT												20181108191332
546	SUSAN												20181108191332
547	CARL												20181108191332
548	LARRY												20181108191332
549	JAMES												20181108191332
550	CANDACE												20181108191332
552	RAY												20181108191332
553	JAMES												20181108191332
554	JOHN												20181108191332
