Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
52	M.D.												20181108191331
95	MD												20181108191331
112	MSN, FNP												20181108191331
128	D.D.S.												20181108191331
137	MD												20181108191331
242	MD												20181108191331
264	M.D.												20181108191331
267	M.D.												20181108191331
322	N.P.												20181108191332
336	M.D.												20181108191332
399	PHARM.D.												20181108191332
412	MD												20181108191332
454	DPM												20181108191332
542	MD												20181108191332
587	M.D.												20181108191332
605	M.D.												20181108191332
646	M.D.												20181108191332
713	RPH												20181108191333
724	MD												20181108191333
737	D.O.												20181108191333
741	MD												20181108191333
742	CNM												20181108191333
816	M.D.												20181108191333
830	ARNP												20181108191333
864	DDS												20181108191333
883	M.D.												20181108191333
886	DO												20181108191333
895	M.D.												20181108191333
899	RN												20181108191333
957	O.D.												20181108191333
1065	MD												20181108191334
1123	CRNA												20181108191334
1145	M.D.												20181108191334
1184	M.D.												20181108191334
1221	N.P.												20181108191334
1249	OD												20181108191334
1270	MD MBA												20181108191334
1314	D.O.												20181108191334
1350	PA-C												20181108191334
1415	PA-C												20181108191334
1420	MD												20181108191334
1449	MD												20181108191335
1463	OT												20181108191335
1534	PA-C												20181108191335
1546	MD												20181108191335
1601	D.C.												20181108191335
1653	DO												20181108191335
1657	MD												20181108191335
1682	AU.D., CCC-A, FAAA												20181108191335
1815	MD, DRPH												20181108191335
