Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
21	OLIVEROS												20181108191331
52	C.												20181108191331
112	YVETTE												20181108191331
242	YAO												20181108191331
247	E												20181108191331
264	S												20181108191331
267	ANTHONY												20181108191331
322	MARIA												20181108191332
336	A.												20181108191332
399	JEAN												20181108191332
412	J												20181108191332
454	THI												20181108191332
587	R												20181108191332
605	DAVID												20181108191332
646	JAJ												20181108191332
695	L												20181108191333
722	S												20181108191333
741	P												20181108191333
742	C												20181108191333
816	EP												20181108191333
830	NICOLE												20181108191333
842	N												20181108191333
864	C												20181108191333
883	GREER												20181108191333
886	LEIGH												20181108191333
895	S												20181108191333
899	ALEXANDRA												20181108191333
1123	A												20181108191334
1184	H.												20181108191334
1190	MARIE												20181108191334
1221	M												20181108191334
1270	ZAYDEE												20181108191334
1314	SHANNON												20181108191334
1350	ANN												20181108191334
1415	BETH												20181108191334
1420	ANN												20181108191334
1442	E.K.												20181108191335
1449	MAE												20181108191335
1463	A												20181108191335
1534	DAWN												20181108191335
1546	STEVE												20181108191335
1653	ANN												20181108191335
1657	P												20181108191335
1782	A												20181108191335
1815	DANIEL												20181108191335
1873	ANN												20181108191336
1919	ANDREW												20181108191336
