Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
9	5									5	5		20181108191331
29	3									3	3		20181108191331
77	3									3	3		20181108191331
78	3									3	3		20181108191331
89	3									3	3		20181108191331
98	3									3	3		20181108191331
135	5									5	5		20181108191331
154	3									3	3		20181108191331
166	3									3	3		20181108191331
168	3									3	3		20181108191331
174	3									3	3		20181108191331
194	3									3	3		20181108191331
195	3									3	3		20181108191331
202	3									3	3		20181108191331
212	3									3	3		20181108191331
222	3									3	3		20181108191331
243	3									3	3		20181108191331
250	3									3	3		20181108191331
254	3									3	3		20181108191331
255	3									3	3		20181108191331
257	3									3	3		20181108191331
272	3									3	3		20181108191331
275	3									3	3		20181108191331
300	5									5	5		20181108191332
309	3									3	3		20181108191332
314	3									3	3		20181108191332
321	3									3	3		20181108191332
324	3									3	3		20181108191332
332	3									3	3		20181108191332
337	3									3	3		20181108191332
349	5									5	5		20181108191332
362	3									3	3		20181108191332
376	3									3	3		20181108191332
407	3									3	3		20181108191332
408	3									3	3		20181108191332
452	3									3	3		20181108191332
455	3									3	3		20181108191332
458	3									3	3		20181108191332
462	3									3	3		20181108191332
480	3									3	3		20181108191332
481	3									3	3		20181108191332
486	3									3	3		20181108191332
530	3									3	3		20181108191332
538	3									3	3		20181108191332
541	3									3	3		20181108191332
559	3									3	3		20181108191332
560	3									3	3		20181108191332
627	3									3	3		20181108191332
639	3									3	3		20181108191332
647	3									3	3		20181108191332
666	3									3	3		20181108191332
682	3									3	3		20181108191333
687	3									3	3		20181108191333
700	3									3	3		20181108191333
727	5									5	5		20181108191333
731	3									3	3		20181108191333
735	5									5	5		20181108191333
744	3									3	3		20181108191333
746	3									3	3		20181108191333
752	5									5	5		20181108191333
769	3									3	3		20181108191333
817	5									5	5		20181108191333
822	4									4	4		20181108191333
832	3									3	3		20181108191333
846	3									3	3		20181108191333
884	3									3	3		20181108191333
892	3									3	3		20181108191333
894	3									3	3		20181108191333
908	5									5	5		20181108191333
909	3									3	3		20181108191333
937	3									3	3		20181108191333
948	3									3	3		20181108191333
961	3									3	3		20181108191333
963	3									3	3		20181108191333
984	5									5	5		20181108191333
1020	3									3	3		20181108191333
1023	3									3	3		20181108191333
1033	3									3	3		20181108191333
1044	3									3	3		20181108191333
1054	3									3	3		20181108191334
1055	3									3	3		20181108191334
1058	3									3	3		20181108191334
1078	3									3	3		20181108191334
1079	3									3	3		20181108191334
1084	3									3	3		20181108191334
1091	3									3	3		20181108191334
1093	3									3	3		20181108191334
1094	3									3	3		20181108191334
1099	3									3	3		20181108191334
1143	3									3	3		20181108191334
1157	3									3	3		20181108191334
1159	3									3	3		20181108191334
1174	3									3	3		20181108191334
1201	3									3	3		20181108191334
1231	3									3	3		20181108191334
1239	3									3	3		20181108191334
1250	3									3	3		20181108191334
1260	3									3	3		20181108191334
1262	3									3	3		20181108191334
1267	3									3	3		20181108191334
1310	3									3	3		20181108191334
1340	3									3	3		20181108191334
1400	3									3	3		20181108191334
1410	3									3	3		20181108191334
1412	3									3	3		20181108191334
1426	3									3	3		20181108191334
1447	3									3	3		20181108191335
1461	3									3	3		20181108191335
1466	3									3	3		20181108191335
1476	3									3	3		20181108191335
1484	3									3	3		20181108191335
1487	3									3	3		20181108191335
1492	3									3	3		20181108191335
1564	3									3	3		20181108191335
1594	3									3	3		20181108191335
1597	3									3	3		20181108191335
1606	3									3	3		20181108191335
1617	3									3	3		20181108191335
1622	3									3	3		20181108191335
1627	3									3	3		20181108191335
1643	3									3	3		20181108191335
1650	3									3	3		20181108191335
1674	3									3	3		20181108191335
1724	3									3	3		20181108191335
1741	3									3	3		20181108191335
1746	3									3	3		20181108191335
1772	3									3	3		20181108191335
1778	3									3	3		20181108191335
1787	3									3	3		20181108191335
1792	3									3	3		20181108191335
1793	3									3	3		20181108191335
1812	3									3	3		20181108191335
1825	3									3	3		20181108191335
1828	3									3	3		20181108191335
1832	3									3	3		20181108191335
1852	3									3	3		20181108191336
1853	3									3	3		20181108191336
1865	5									5	5		20181108191336
1874	3									3	3		20181108191336
1897	3									3	3		20181108191336
1898	3									3	3		20181108191336
1906	3									3	3		20181108191336
1935	3									3	3		20181108191336
1988	3									3	3		20181108191336
