Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
10	213E00000X												20181108191336
33	1835P1200X												20181108191336
34	207W00000X												20181108191336
39	204F00000X												20181108191336
48	282NC2000X												20181108191336
58	363AM0700X												20181108191336
62	3336C0003X												20181108191336
71	207RC0000X												20181108191336
75	207ZD0900X												20181108191336
81	207RN0300X												20181108191336
85	152WC0802X												20181108191336
91	225100000X												20181108191336
92	213ES0103X												20181108191336
95	3336S0011X												20181108191336
97	183500000X												20181108191336
105	207R00000X												20181108191336
110	207RC0000X												20181108191336
111	261QR0405X												20181108191336
113	1223G0001X												20181108191336
117	367500000X												20181108191336
131	261QM0855X												20181108191336
137	2085R0204X												20181108191336
142	2085N0904X												20181108191336
144	333600000X												20181108191336
150	207P00000X												20181108191336
153	207W00000X												20181108191336
158	152WC0802X												20181108191336
165	2086S0129X												20181108191336
166	208VP0014X												20181108191336
170	2085R0204X												20181108191336
173	207X00000X												20181108191336
177	2085R0202X												20181108191336
183	213E00000X												20181108191336
185	207RC0000X												20181108191336
195	207Y00000X												20181108191336
202	2084P0015X												20181108191336
210	207RC0000X												20181108191336
217	225100000X												20181108191337
227	103K00000X												20181108191337
229	174400000X												20181108191337
231	213ES0131X												20181108191337
233	207Q00000X												20181108191337
239	291U00000X												20181108191337
242	207RC0001X												20181108191337
253	207Q00000X												20181108191337
254	208VP0014X												20181108191337
255	208800000X												20181108191337
266	231H00000X												20181108191337
269	2085R0204X												20181108191337
271	133V00000X												20181108191337
273	207X00000X												20181108191337
274	174400000X												20181108191337
280	207X00000X												20181108191337
283	207RC0000X												20181108191337
286	122300000X												20181108191337
291	261QR0200X												20181108191337
295	261QR0200X												20181108191337
297	208G00000X												20181108191337
298	2084P0805X												20181108191337
299	367500000X												20181108191337
301	3416L0300X												20181108191337
303	251V00000X												20181108191337
308	152W00000X												20181108191337
311	152WP0200X												20181108191337
312	261QM2500X												20181108191337
316	207LP2900X												20181108191337
318	103TC0700X												20181108191337
329	207P00000X												20181108191337
338	207NS0135X												20181108191337
342	207X00000X												20181108191337
343	208C00000X												20181108191337
347	207NS0135X												20181108191337
353	207RC0001X												20181108191337
354	261QA1903X												20181108191337
357	207ZP0102X												20181108191337
364	208600000X												20181108191337
376	146D00000X												20181108191337
381	207ZH0000X												20181108191337
386	237600000X												20181108191337
403	3336C0003X												20181108191337
405	207Q00000X												20181108191337
406	2085R0204X												20181108191337
410	207Q00000X												20181108191337
414	332B00000X												20181108191337
421	207Y00000X												20181108191337
431	208000000X												20181108191337
435	207X00000X												20181108191337
446	332B00000X												20181108191337
454	3336H0001X												20181108191337
459	251B00000X												20181108191337
460	208100000X												20181108191337
466	208600000X												20181108191337
472	2085U0001X												20181108191337
482	1041C0700X												20181108191337
486	174400000X												20181108191337
497	207Q00000X												20181108191337
499	207L00000X												20181108191337
501	1223S0112X												20181108191337
504	207XS0117X												20181108191337
515	208000000X												20181108191337
520	207L00000X												20181108191337
523	363A00000X												20181108191337
524	251F00000X												20181108191337
540	3336H0001X												20181108191337
542	2081P2900X												20181108191337
556	207QB0002X												20181108191337
557	2085R0204X												20181108191337
559	363AS0400X												20181108191337
563	364SP0808X												20181108191337
568	3336C0004X												20181108191337
572	314000000X												20181108191337
575	174400000X												20181108191337
578	207Q00000X												20181108191337
595	208000000X												20181108191338
601	1835P0018X												20181108191338
611	251G00000X												20181108191338
626	282N00000X												20181108191338
630	3416A0800X												20181108191338
640	207V00000X												20181108191338
642	2086S0129X												20181108191338
644	207XS0117X												20181108191338
645	332BN1400X												20181108191338
652	207Q00000X												20181108191338
659	332BP3500X												20181108191338
676	333600000X												20181108191338
680	207ND0101X												20181108191338
683	2083P0901X												20181108191338
684	174400000X												20181108191338
690	1223G0001X												20181108191338
692	213ES0131X												20181108191338
700	363L00000X												20181108191338
702	2085R0202X												20181108191338
710	207ZP0102X												20181108191338
717	2085R0001X												20181108191338
723	213E00000X												20181108191338
726	207RC0000X												20181108191338
733	251E00000X												20181108191338
736	207W00000X												20181108191338
740	237600000X												20181108191338
742	208600000X												20181108191338
743	1223G0001X												20181108191338
759	363LF0000X												20181108191338
767	2083X0100X												20181108191338
779	207P00000X												20181108191338
783	103TA0700X												20181108191338
785	207RP1001X												20181108191338
787	367500000X												20181108191338
789	1835G0303X												20181108191338
790	207RC0200X												20181108191338
800	207R00000X												20181108191338
801	207R00000X												20181108191338
805	2086S0127X												20181108191338
815	207XX0004X												20181108191338
816	251G00000X												20181108191338
828	207RN0300X												20181108191338
829	207RI0011X												20181108191338
838	207ND0900X												20181108191338
843	3336C0004X												20181108191338
848	174400000X												20181108191338
852	207XS0106X												20181108191338
853	207RE0101X												20181108191338
859	2084N0400X												20181108191338
861	207RC0200X												20181108191338
871	207RC0001X												20181108191338
877	103T00000X												20181108191338
878	208000000X												20181108191338
879	207WX0120X												20181108191338
880	363A00000X												20181108191338
881	207U00000X												20181108191338
885	207ND0101X												20181108191338
892	207RI0011X												20181108191338
895	207RP1001X												20181108191338
900	1835P1200X												20181108191338
902	2085R0202X												20181108191338
904	252Y00000X												20181108191338
909	2084N0400X												20181108191338
910	363L00000X												20181108191338
911	2085R0202X												20181108191338
913	207XS0106X												20181108191338
922	208800000X												20181108191338
927	3245S0500X												20181108191338
935	291U00000X												20181108191338
936	207ZP0102X												20181108191338
938	207NS0135X												20181108191338
940	367A00000X												20181108191338
944	103TH0100X												20181108191338
950	332BC3200X												20181108191338
958	2086S0129X												20181108191338
967	152W00000X												20181108191338
978	363L00000X												20181108191338
981	367500000X												20181108191339
984	363L00000X												20181108191339
990	3336S0011X												20181108191339
991	207R00000X												20181108191339
994	2080P0201X												20181108191339
1007	225100000X												20181108191339
1010	207RP1001X												20181108191339
1011	207ZP0102X												20181108191339
1019	207RN0300X												20181108191339
1025	207W00000X												20181108191339
1028	174400000X												20181108191339
1031	363LA2200X												20181108191339
1032	207P00000X												20181108191339
1042	207RC0000X												20181108191339
1049	207VG0400X												20181108191339
1053	261QM0801X												20181108191339
1060	171W00000X												20181108191339
1063	208M00000X												20181108191339
1065	207V00000X												20181108191339
1066	122300000X												20181108191339
1072	363AS0400X												20181108191339
1073	207V00000X												20181108191339
1075	152W00000X												20181108191339
1081	111N00000X												20181108191339
1086	208600000X												20181108191339
1090	207RN0300X												20181108191339
1099	207RC0001X												20181108191339
1102	207P00000X												20181108191339
1106	1041C0700X												20181108191339
1110	2080P0006X												20181108191339
1126	2088P0231X												20181108191339
1129	2085N0904X												20181108191339
1134	207RN0300X												20181108191339
1136	207R00000X												20181108191339
1137	207Y00000X												20181108191339
1141	207Q00000X												20181108191339
1148	208000000X												20181108191339
1153	207ZP0102X												20181108191339
1158	208600000X												20181108191339
1164	207QG0300X												20181108191339
1167	207W00000X												20181108191339
1175	1223G0001X												20181108191339
1178	1223P0221X												20181108191339
1182	152WC0802X												20181108191339
1201	1223G0001X												20181108191339
1208	207R00000X												20181108191339
1209	261QP2000X												20181108191339
1210	2084P0800X												20181108191339
1211	2086S0120X												20181108191339
1217	207RN0300X												20181108191339
1222	207RC0000X												20181108191339
1226	207R00000X												20181108191339
1241	207RR0500X												20181108191339
1250	363AM0700X												20181108191339
1253	207RI0011X												20181108191339
1263	163WG0000X												20181108191339
1269	207Q00000X												20181108191339
1278	246QM0706X												20181108191339
1280	152W00000X												20181108191339
1288	207Q00000X												20181108191339
1293	363AS0400X												20181108191339
1302	1835P1200X												20181108191339
1316	207RC0000X												20181108191339
1318	3416L0300X												20181108191339
1320	207RI0011X												20181108191339
1325	207RN0300X												20181108191339
1333	208G00000X												20181108191339
1334	207RI0008X												20181108191339
1337	2084P0800X												20181108191339
1341	363L00000X												20181108191339
1343	207LP2900X												20181108191339
1344	332BP3500X												20181108191339
1345	207QH0002X												20181108191339
1357	335E00000X												20181108191339
1360	1223G0001X												20181108191339
1361	174400000X												20181108191339
1364	213ES0131X												20181108191339
1372	207WX0200X												20181108191339
1373	207V00000X												20181108191340
1374	207N00000X												20181108191340
1375	207RC0000X												20181108191340
1377	207R00000X												20181108191340
1379	122300000X												20181108191340
1386	152WC0802X												20181108191340
1389	152WC0802X												20181108191340
1401	207VX0000X												20181108191340
1405	207Q00000X												20181108191340
1411	2084N0600X												20181108191340
1413	3336C0003X												20181108191340
1414	207N00000X												20181108191340
1415	207RC0000X												20181108191340
1416	207UN0901X												20181108191340
1429	364SA2200X												20181108191340
1431	207R00000X												20181108191340
1436	208600000X												20181108191340
1442	207VX0000X												20181108191340
1444	207ZP0102X												20181108191340
1448	2085R0204X												20181108191340
1454	310400000X												20181108191340
1457	207Q00000X												20181108191340
1462	363LF0000X												20181108191340
1471	2080P0203X												20181108191340
1477	207LP2900X												20181108191340
1486	261QI0500X												20181108191340
1498	207RP1001X												20181108191340
1499	208G00000X												20181108191340
1500	207RC0200X												20181108191340
1506	207XS0114X												20181108191340
1509	208000000X												20181108191340
1514	207QA0401X												20181108191340
1515	2085R0202X												20181108191340
1516	207X00000X												20181108191340
1517	208VP0014X												20181108191340
1523	207RI0011X												20181108191340
1525	1223X0400X												20181108191340
1541	1223S0112X												20181108191340
1543	363LF0000X												20181108191340
1558	208000000X												20181108191340
1561	207LP2900X												20181108191340
1570	103T00000X												20181108191340
1579	261QA0900X												20181108191340
1588	332B00000X												20181108191340
1591	207R00000X												20181108191340
1607	207Q00000X												20181108191340
1609	207LP2900X												20181108191340
1613	207RC0000X												20181108191340
1616	335V00000X												20181108191340
1624	207Q00000X												20181108191340
1625	367500000X												20181108191340
1631	363LP0808X												20181108191340
1632	174400000X												20181108191340
1634	2084N0400X												20181108191340
1639	207RH0003X												20181108191340
1646	208000000X												20181108191340
1648	363LX0106X												20181108191340
1652	207RC0200X												20181108191340
1653	163WP0808X												20181108191340
1655	207YP0228X												20181108191340
1664	207R00000X												20181108191340
1665	2085R0202X												20181108191340
1670	224P00000X												20181108191340
1685	2084N0400X												20181108191340
1694	225700000X												20181108191340
1705	1835P1200X												20181108191340
1711	207RX0202X												20181108191340
1716	111N00000X												20181108191340
1723	213E00000X												20181108191340
1735	207R00000X												20181108191340
1737	2085N0700X												20181108191340
1738	207RX0202X												20181108191340
1742	364SP0200X												20181108191340
1744	2085R0001X												20181108191340
1753	207P00000X												20181108191341
1754	207RC0200X												20181108191341
1757	2085R0204X												20181108191341
1761	225100000X												20181108191341
1766	207RN0300X												20181108191341
1776	213ES0000X												20181108191341
1780	2251X0800X												20181108191341
1781	363LP0808X												20181108191341
1793	207RC0000X												20181108191341
1795	207RI0011X												20181108191341
1803	207P00000X												20181108191341
1808	164W00000X												20181108191341
1812	320600000X												20181108191341
1820	207L00000X												20181108191341
1827	261QP2300X												20181108191341
1833	363LP0808X												20181108191341
1837	174400000X												20181108191341
1848	207Q00000X												20181108191341
1850	2085R0204X												20181108191341
1851	208000000X												20181108191341
1855	208000000X												20181108191341
1856	207RP1001X												20181108191341
1859	207RS0012X												20181108191341
1861	207W00000X												20181108191341
1865	208800000X												20181108191341
1867	207L00000X												20181108191341
1870	1223G0001X												20181108191341
1871	207NS0135X												20181108191341
1874	207V00000X												20181108191341
1875	363LA2200X												20181108191341
1876	207W00000X												20181108191341
1887	2085R0202X												20181108191341
1892	208M00000X												20181108191341
1893	2085R0204X												20181108191341
1906	207P00000X												20181108191341
1912	207RC0000X												20181108191341
1920	208000000X												20181108191341
1924	2080P0203X												20181108191341
1931	208M00000X												20181108191341
1937	207PE0004X												20181108191341
1940	207RN0300X												20181108191341
1941	101YM0800X												20181108191341
1944	367500000X												20181108191341
1945	208M00000X												20181108191341
1966	207L00000X												20181108191341
1973	2085R0202X												20181108191341
1974	207WX0107X												20181108191341
1976	208000000X												20181108191341
1978	207RP1001X												20181108191341
1981	122300000X												20181108191341
1982	363A00000X												20181108191341
1983	208M00000X												20181108191341
1989	335E00000X												20181108191341
1995	207RN0300X												20181108191341
1998	332BP3500X												20181108191341
