Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
1	09/26/2011		2011	9	26	0	0	0	0				20181108191336
2	09/12/2011		2011	9	12	0	0	0	0				20181108191336
3	09/03/2015		2015	9	3	0	0	0	0				20181108191336
4	07/08/2007		2007	7	8	0	0	0	0				20181108191336
5	09/28/2007		2007	9	28	0	0	0	0				20181108191336
7	12/11/2011		2011	12	11	0	0	0	0				20181108191336
8	03/23/2011		2011	3	23	0	0	0	0				20181108191336
9	07/09/2007		2007	7	9	0	0	0	0				20181108191336
10	03/22/2016		2016	3	22	0	0	0	0				20181108191336
11	05/27/2008		2008	5	27	0	0	0	0				20181108191336
12	02/08/2016		2016	2	8	0	0	0	0				20181108191336
13	07/11/2014		2014	7	11	0	0	0	0				20181108191336
14	07/01/2016		2016	7	1	0	0	0	0				20181108191336
16	04/04/2016		2016	4	4	0	0	0	0				20181108191336
17	01/30/2018		2018	1	30	0	0	0	0				20181108191336
18	02/23/2016		2016	2	23	0	0	0	0				20181108191336
19	04/20/2008		2008	4	20	0	0	0	0				20181108191336
20	09/20/2007		2007	9	20	0	0	0	0				20181108191336
21	05/01/2014		2014	5	1	0	0	0	0				20181108191336
22	10/22/2014		2014	10	22	0	0	0	0				20181108191336
23	02/16/2015		2015	2	16	0	0	0	0				20181108191336
24	05/27/2011		2011	5	27	0	0	0	0				20181108191336
25	10/25/2007		2007	10	25	0	0	0	0				20181108191336
26	07/08/2007		2007	7	8	0	0	0	0				20181108191336
27	05/10/2013		2013	5	10	0	0	0	0				20181108191336
28	02/18/2013		2013	2	18	0	0	0	0				20181108191336
29	05/10/2017		2017	5	10	0	0	0	0				20181108191336
30	05/28/2013		2013	5	28	0	0	0	0				20181108191336
31	10/01/2018		2018	10	1	0	0	0	0				20181108191336
32	05/21/2008		2008	5	21	0	0	0	0				20181108191336
33	08/03/2011		2011	8	3	0	0	0	0				20181108191336
34	04/05/2017		2017	4	5	0	0	0	0				20181108191336
35	04/20/2008		2008	4	20	0	0	0	0				20181108191336
36	09/02/2015		2015	9	2	0	0	0	0				20181108191336
37	04/30/2014		2014	4	30	0	0	0	0				20181108191336
38	11/02/2009		2009	11	2	0	0	0	0				20181108191336
39	10/25/2013		2013	10	25	0	0	0	0				20181108191336
40	03/11/2015		2015	3	11	0	0	0	0				20181108191336
41	04/09/2013		2013	4	9	0	0	0	0				20181108191336
42	04/20/2008		2008	4	20	0	0	0	0				20181108191336
43	07/23/2010		2010	7	23	0	0	0	0				20181108191336
44	05/11/2018		2018	5	11	0	0	0	0				20181108191336
45	05/25/2011		2011	5	25	0	0	0	0				20181108191336
46	07/08/2007		2007	7	8	0	0	0	0				20181108191336
47	03/19/2008		2008	3	19	0	0	0	0				20181108191336
48	09/12/2018		2018	9	12	0	0	0	0				20181108191336
49	07/09/2007		2007	7	9	0	0	0	0				20181108191336
50	08/17/2018		2018	8	17	0	0	0	0				20181108191336
51	06/19/2017		2017	6	19	0	0	0	0				20181108191336
52	08/29/2018		2018	8	29	0	0	0	0				20181108191336
53	07/08/2007		2007	7	8	0	0	0	0				20181108191336
54	07/08/2007		2007	7	8	0	0	0	0				20181108191336
55	11/21/2016		2016	11	21	0	0	0	0				20181108191336
56	03/17/2016		2016	3	17	0	0	0	0				20181108191336
57	11/03/2011		2011	11	3	0	0	0	0				20181108191336
58	07/24/2018		2018	7	24	0	0	0	0				20181108191336
59	04/08/2008		2008	4	8	0	0	0	0				20181108191336
60	10/11/2012		2012	10	11	0	0	0	0				20181108191336
61	08/17/2015		2015	8	17	0	0	0	0				20181108191336
62	03/13/2013		2013	3	13	0	0	0	0				20181108191336
63	07/08/2007		2007	7	8	0	0	0	0				20181108191336
64	07/08/2007		2007	7	8	0	0	0	0				20181108191336
65	04/07/2008		2008	4	7	0	0	0	0				20181108191336
66	11/15/2010		2010	11	15	0	0	0	0				20181108191336
67	10/25/2007		2007	10	25	0	0	0	0				20181108191336
68	07/08/2007		2007	7	8	0	0	0	0				20181108191336
69	07/08/2007		2007	7	8	0	0	0	0				20181108191336
71	01/09/2018		2018	1	9	0	0	0	0				20181108191336
72	08/17/2017		2017	8	17	0	0	0	0				20181108191336
73	12/10/2013		2013	12	10	0	0	0	0				20181108191336
74	10/25/2013		2013	10	25	0	0	0	0				20181108191336
75	12/15/2016		2016	12	15	0	0	0	0				20181108191336
76	11/03/2014		2014	11	3	0	0	0	0				20181108191336
77	06/01/2016		2016	6	1	0	0	0	0				20181108191336
78	11/29/2007		2007	11	29	0	0	0	0				20181108191336
79	10/05/2015		2015	10	5	0	0	0	0				20181108191336
80	08/28/2015		2015	8	28	0	0	0	0				20181108191336
81	04/16/2013		2013	4	16	0	0	0	0				20181108191336
82	11/14/2007		2007	11	14	0	0	0	0				20181108191336
83	11/09/2012		2012	11	9	0	0	0	0				20181108191336
84	09/25/2008		2008	9	25	0	0	0	0				20181108191336
85	07/11/2013		2013	7	11	0	0	0	0				20181108191336
86	05/03/2013		2013	5	3	0	0	0	0				20181108191336
87	11/11/2009		2009	11	11	0	0	0	0				20181108191336
88	03/17/2018		2018	3	17	0	0	0	0				20181108191336
89	04/26/2011		2011	4	26	0	0	0	0				20181108191336
90	01/26/2011		2011	1	26	0	0	0	0				20181108191336
91	07/21/2008		2008	7	21	0	0	0	0				20181108191336
92	04/25/2018		2018	4	25	0	0	0	0				20181108191336
93	10/20/2008		2008	10	20	0	0	0	0				20181108191336
94	04/25/2018		2018	4	25	0	0	0	0				20181108191336
95	02/27/2017		2017	2	27	0	0	0	0				20181108191336
96	10/20/2008		2008	10	20	0	0	0	0				20181108191336
97	07/08/2007		2007	7	8	0	0	0	0				20181108191336
98	07/08/2007		2007	7	8	0	0	0	0				20181108191336
99	03/19/2008		2008	3	19	0	0	0	0				20181108191336
100	08/31/2010		2010	8	31	0	0	0	0				20181108191336
101	01/13/2010		2010	1	13	0	0	0	0				20181108191336
102	05/22/2018		2018	5	22	0	0	0	0				20181108191336
103	07/08/2007		2007	7	8	0	0	0	0				20181108191336
104	07/09/2007		2007	7	9	0	0	0	0				20181108191336
105	10/07/2014		2014	10	7	0	0	0	0				20181108191336
106	08/17/2018		2018	8	17	0	0	0	0				20181108191336
107	07/08/2007		2007	7	8	0	0	0	0				20181108191336
108	09/09/2010		2010	9	9	0	0	0	0				20181108191336
109	02/27/2008		2008	2	27	0	0	0	0				20181108191336
110	05/28/2014		2014	5	28	0	0	0	0				20181108191336
111	09/12/2017		2017	9	12	0	0	0	0				20181108191336
112	05/07/2008		2008	5	7	0	0	0	0				20181108191336
113	05/11/2015		2015	5	11	0	0	0	0				20181108191336
114	10/30/2012		2012	10	30	0	0	0	0				20181108191336
115	11/09/2007		2007	11	9	0	0	0	0				20181108191336
116	07/08/2007		2007	7	8	0	0	0	0				20181108191336
117	07/08/2007		2007	7	8	0	0	0	0				20181108191336
120	07/08/2007		2007	7	8	0	0	0	0				20181108191336
121	05/31/2016		2016	5	31	0	0	0	0				20181108191336
122	07/08/2007		2007	7	8	0	0	0	0				20181108191336
123	07/08/2007		2007	7	8	0	0	0	0				20181108191336
124	07/08/2007		2007	7	8	0	0	0	0				20181108191336
125	07/19/2012		2012	7	19	0	0	0	0				20181108191336
126	02/10/2009		2009	2	10	0	0	0	0				20181108191336
127	02/04/2010		2010	2	4	0	0	0	0				20181108191336
128	11/16/2016		2016	11	16	0	0	0	0				20181108191336
129	02/07/2013		2013	2	7	0	0	0	0				20181108191336
130	07/19/2010		2010	7	19	0	0	0	0				20181108191336
131	12/04/2012		2012	12	4	0	0	0	0				20181108191336
132	03/24/2011		2011	3	24	0	0	0	0				20181108191336
133	04/20/2008		2008	4	20	0	0	0	0				20181108191336
134	10/16/2013		2013	10	16	0	0	0	0				20181108191336
135	09/23/2009		2009	9	23	0	0	0	0				20181108191336
136	11/11/2010		2010	11	11	0	0	0	0				20181108191336
137	08/02/2016		2016	8	2	0	0	0	0				20181108191336
138	07/08/2007		2007	7	8	0	0	0	0				20181108191336
139	08/05/2015		2015	8	5	0	0	0	0				20181108191336
140	06/08/2016		2016	6	8	0	0	0	0				20181108191336
141	07/08/2007		2007	7	8	0	0	0	0				20181108191336
142	08/03/2016		2016	8	3	0	0	0	0				20181108191336
143	03/25/2009		2009	3	25	0	0	0	0				20181108191336
144	01/18/2013		2013	1	18	0	0	0	0				20181108191336
145	03/08/2016		2016	3	8	0	0	0	0				20181108191336
146	07/08/2007		2007	7	8	0	0	0	0				20181108191336
147	09/30/2009		2009	9	30	0	0	0	0				20181108191336
148	10/31/2013		2013	10	31	0	0	0	0				20181108191336
149	04/25/2017		2017	4	25	0	0	0	0				20181108191336
150	06/21/2012		2012	6	21	0	0	0	0				20181108191336
151	07/08/2007		2007	7	8	0	0	0	0				20181108191336
152	12/19/2011		2011	12	19	0	0	0	0				20181108191336
153	06/28/2012		2012	6	28	0	0	0	0				20181108191336
154	07/08/2007		2007	7	8	0	0	0	0				20181108191336
156	07/26/2018		2018	7	26	0	0	0	0				20181108191336
157	09/09/2010		2010	9	9	0	0	0	0				20181108191336
158	03/14/2014		2014	3	14	0	0	0	0				20181108191336
159	09/03/2015		2015	9	3	0	0	0	0				20181108191336
160	12/09/2015		2015	12	9	0	0	0	0				20181108191336
161	06/23/2014		2014	6	23	0	0	0	0				20181108191336
163	10/22/2007		2007	10	22	0	0	0	0				20181108191336
164	02/08/2017		2017	2	8	0	0	0	0				20181108191336
165	02/13/2017		2017	2	13	0	0	0	0				20181108191336
166	05/30/2018		2018	5	30	0	0	0	0				20181108191336
167	11/02/2011		2011	11	2	0	0	0	0				20181108191336
168	07/08/2007		2007	7	8	0	0	0	0				20181108191336
169	07/09/2007		2007	7	9	0	0	0	0				20181108191336
170	08/02/2016		2016	8	2	0	0	0	0				20181108191336
171	04/20/2008		2008	4	20	0	0	0	0				20181108191336
172	01/18/2016		2016	1	18	0	0	0	0				20181108191336
