Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
36	DONNA												20181108191336
81	MARUTHAIYAN												20181108191336
105	VIVEK												20181108191336
136	CYGNET												20181108191336
138	H.												20181108191336
150	CAROL												20181108191336
192	CATHY												20181108191336
229	STEVEN												20181108191337
271	KEELEY												20181108191337
276	ROGER												20181108191337
329	JIM												20181108191337
366	PAMELA												20181108191337
376	JIM												20181108191337
396	KARIN												20181108191337
398	CAROL												20181108191337
409	RICK												20181108191337
457	SUE												20181108191337
473	CHAS.												20181108191337
481	KAMRAN												20181108191337
512	ROBIN												20181108191337
542	MICHAEL												20181108191337
602	CATHY												20181108191338
633	NICHOLE												20181108191338
749	D.												20181108191338
883	LAURA												20181108191338
978	PAULA												20181108191338
999	JOY												20181108191339
1047	ANN												20181108191339
1086	KAY												20181108191339
1094	G.												20181108191339
1119	AUDREY												20181108191339
1174	THOMAS												20181108191339
1216	SHARON												20181108191339
1315	WILLIAM												20181108191339
1326	KIMBERLY												20181108191339
1400	BARBARA												20181108191340
1409	ELIZABETH												20181108191340
1457	CLAY												20181108191340
1471	AMIRAH												20181108191340
1482	MARTINA												20181108191340
1526	KATHY												20181108191340
1570	DAN												20181108191340
1646	JENNIFER												20181108191340
1682	SNEZANA												20181108191340
1735	BARNALI												20181108191340
1742	MARJORIE												20181108191340
1777	LAURIE												20181108191341
1802	JEANETTE												20181108191341
1823	J.												20181108191341
1844	BEN												20181108191341
1854	MARY												20181108191341
1862	CARRIE												20181108191341
1865	YVES												20181108191341
1867	STANFORD												20181108191341
1875	DAVID												20181108191341
1901	ADRIENNE												20181108191341
1913	SUNNY												20181108191341
1939	TAMARA												20181108191341
1967	JANET												20181108191341
1971	ZAHER												20181108191341
1985	KIMBERLEY												20181108191341
