Line_ID	As_Short_Text_LTE_400	As_Long_Text_LTE_4000	As_Year	As_Month	As_Day	As_Hour	As_Minute	As_Second	As_Millisecond	As_Double	As_Long	As_Bool	YMD_hms_Key
36	BADOLATO												20181108191336
81	CHANDRAMOHAN												20181108191336
105	AWASTY												20181108191336
136	SCHROEDER												20181108191336
138	MIKULIAK												20181108191336
150	GRIGG												20181108191336
192	TURNER												20181108191336
229	BUSH												20181108191337
271	CAVENDER												20181108191337
276	MUNK												20181108191337
329	DELINE												20181108191337
366	HENDRICKS												20181108191337
376	MEEHAN												20181108191337
396	MUTERSBAUGH												20181108191337
398	SHULMAN												20181108191337
409	HARRISON												20181108191337
457	MORRISSON												20181108191337
473	MAY												20181108191337
481	FASIH												20181108191337
512	SMITH												20181108191337
542	MOORE												20181108191337
602	JUDGE												20181108191338
633	POOLE												20181108191338
749	LOPEZ												20181108191338
883	SCHMIDT												20181108191338
978	MORELLI												20181108191338
999	MARTIN												20181108191339
1047	WALKER												20181108191339
1086	ABDULLAH												20181108191339
1094	GODARD												20181108191339
1119	DEJONG												20181108191339
1174	KOENIG												20181108191339
1216	WALSH												20181108191339
1315	BELMONT												20181108191339
1326	SALLS												20181108191339
1400	SLOAN												20181108191340
1409	ROUSE												20181108191340
1457	NASH												20181108191340
1471	DAHER												20181108191340
1482	DOCKERY-BENFIELD												20181108191340
1526	AQUILANTE												20181108191340
1570	COHEN												20181108191340
1646	TIMM												20181108191340
1682	NOVOKMET												20181108191340
1735	GUPTA												20181108191340
1742	SEIDL												20181108191340
1777	COX												20181108191341
1802	HANCOCK												20181108191341
1823	MARTINEZ												20181108191341
1844	HARDIN												20181108191341
1854	MINTER												20181108191341
1862	HURDLE												20181108191341
1865	PROPHETE												20181108191341
1867	PRESCOTT												20181108191341
1875	CAMPOPIANO												20181108191341
1901	CUMBERBATCH												20181108191341
1913	NIEH												20181108191341
1939	SLEETER-MITCHELL												20181108191341
1967	RODDICK												20181108191341
1971	SAID												20181108191341
1985	GRAY												20181108191341
